window,ticker,data_source,signal_type,signal_date,entry_date,entry_open,regime,spy_close,spy_ma50,spy_ma200,spy_roc5_pct,spy_roc5_pass,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct
BEAR_2022,CTAS,yfinance,V0.1,2022-01-12,2022-01-13,97.26968348116858,GREEN,443.1916198730469,438.3475958251953,411.9108233642578,0.5636270732393145,True,2022-01-05,93.4292856952067,4.110486083015097,True,3.0,0.3466341421913377,-8.621583230091744,0.3466341421913377,-4.747153754029698,-6.7015821407516825,-5.029855333561805,-6.136140749278152,-7.680009876867389,False,,False,,False,
BEAR_2022,CTAS,yfinance,V0.2A_ROC5,2022-01-12,2022-01-13,97.26968348116858,GREEN,443.1916198730469,438.3475958251953,411.9108233642578,0.5636270732393145,True,2022-01-05,93.4292856952067,4.110486083015097,True,3.0,0.3466341421913377,-8.621583230091744,0.3466341421913377,-4.747153754029698,-6.7015821407516825,-5.029855333561805,-6.136140749278152,-7.680009876867389,False,,False,,False,
BEAR_2022,ROP,yfinance,V0.1,2022-01-12,2022-01-13,452.36663314750984,GREEN,443.1916198730469,438.3475958251953,411.9108233642578,0.5636270732393145,True,2022-01-07,432.3209769584582,4.636753074088706,True,3.0,0.13740706988596418,-10.356822598306936,0.13740706988596418,-6.286239253524995,-5.977095589271841,-6.507367500944239,-3.8280044477365993,-6.000707304993291,False,,False,,False,
BEAR_2022,ROP,yfinance,V0.2A_ROC5,2022-01-12,2022-01-13,452.36663314750984,GREEN,443.1916198730469,438.3475958251953,411.9108233642578,0.5636270732393145,True,2022-01-07,432.3209769584582,4.636753074088706,True,3.0,0.13740706988596418,-10.356822598306936,0.13740706988596418,-6.286239253524995,-5.977095589271841,-6.507367500944239,-3.8280044477365993,-6.000707304993291,False,,False,,False,
BEAR_2022,SPGI,yfinance,V0.1,2022-01-12,2022-01-13,407.71207551176116,GREEN,443.1916198730469,438.3475958251953,411.9108233642578,0.5636270732393145,True,2022-01-05,389.94990711129293,4.554987211575057,True,2.0,0.5001889340131349,-13.584313771093504,0.5001889340131349,-6.071502430010822,-6.899936746081769,-9.202130520868213,-7.467118740757606,-13.268849749206456,False,,False,,False,
BEAR_2022,SPGI,yfinance,V0.2A_ROC5,2022-01-12,2022-01-13,407.71207551176116,GREEN,443.1916198730469,438.3475958251953,411.9108233642578,0.5636270732393145,True,2022-01-05,389.94990711129293,4.554987211575057,True,2.0,0.5001889340131349,-13.584313771093504,0.5001889340131349,-6.071502430010822,-6.899936746081769,-9.202130520868213,-7.467118740757606,-13.268849749206456,False,,False,,False,
BEAR_2022,ED,yfinance,V0.1,2022-01-24,2022-01-25,69.67709399811079,GREEN,413.8538513183594,436.6819873046875,413.57709701538084,-5.353774141267342,False,2022-01-20,68.62345975963838,1.535384899220893,False,,7.782167056734135,-0.6884575697809536,7.782167056734135,-0.6884575697809536,5.790522028097178,6.2454031358258,0.9855330532970941,4.758857413382711,True,2.0,True,3.0,True,4.0
BEAR_2022,LOW,yfinance,V0.1,2022-01-25,2022-01-26,212.55732578811873,YELLOW,408.8011169433594,436.1611639404297,413.7037185668945,-4.823760902328722,False,2022-01-19,201.26041029801905,5.613083801911967,True,18.0,3.504484463690316,-11.317517702517833,3.504484463690316,-9.373921311127775,2.8164872792608486,0.4730104449603756,-2.3864835490986502,-8.234443523141188,True,3.0,True,5.0,False,
BEAR_2022,O,yfinance,V0.1,2022-01-25,2022-01-26,54.57356215835114,YELLOW,408.8011169433594,436.1611639404297,413.7037185668945,-4.823760902328722,False,2022-01-20,51.71038671281361,5.536944562876478,True,19.0,1.2824748753005988,-7.569956860505311,1.2824748753005988,-5.6750733557267115,0.964258702026255,-0.8293777762361065,-2.4494523146884495,-4.908439852264457,False,,False,,False,
BEAR_2022,FRT,yfinance,V0.1,2022-01-26,2022-01-27,102.3995966946343,YELLOW,407.7755432128906,435.5541943359375,413.8195297241211,-4.066411484929966,False,2022-01-19,97.21156712725657,5.336843876394104,True,18.0,2.90777429064748,-8.900494949943027,2.90777429064748,-6.814340238670102,0.4027431826230776,-0.1208186285667101,-4.639546502516245,-3.0608144102101886,True,2.0,False,,False,
