window,signal_type,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
BEAR_2022,V0.1,38,35,68.42105263157895,55.26315789473685,44.73684210526316,31.57894736842105,4.5746086983366085,-5.41542546777125,-1.1728521739448308,-1.6889804012606762,-3.417164491898509,-2.6370467480558717,4.277746540486094
BEAR_2022,V0.2A_ROC5,27,27,66.66666666666666,51.85185185185185,44.44444444444444,29.629629629629626,4.660026611506577,-5.803333319746656,-2.189457476516268,-2.613057855829204,-4.11359317504103,-3.317934656426264,4.297051430678089
BULL_2013_2014,V0.1,314,52,37.898089171974526,71.97452229299363,61.46496815286624,44.5859872611465,5.011309236275528,-2.10240354914352,1.0273895089728622,1.7820594590832048,2.6005475226301096,2.9913156526259,2.4862053111378124
BULL_2013_2014,V0.2A_ROC5,208,51,43.75,67.78846153846155,55.28846153846154,40.38461538461539,4.69559450623264,-2.345894321973292,0.7655615555998447,1.1681503080681048,2.0729839605889175,2.4279623964008152,2.4766945634678628
BULL_2017,V0.1,111,47,50.45045045045045,62.16216216216216,45.04504504504504,27.927927927927925,3.478863879832258,-2.201395485975407,0.2500541538658508,0.4855056609681214,0.885478445589884,1.0162703371778157,1.7872788766944314
BULL_2017,V0.2A_ROC5,80,43,51.24999999999999,62.5,46.25,26.25,3.2448377192093303,-2.200003159835743,-0.05194438715159784,0.2999374049702938,0.6823075067126263,0.6237446610712544,1.7510017573871162
CHOP_2015_2016,V0.1,201,51,58.2089552238806,53.73134328358209,41.29353233830846,17.91044776119403,2.9676570765331047,-3.05488799901059,-0.09669330327324112,-0.23445098171032777,-0.2109907588325115,-0.4449309778671077,2.3120109632642327
CHOP_2015_2016,V0.2A_ROC5,145,50,62.06896551724138,51.03448275862069,36.55172413793103,14.482758620689657,2.6385863865658212,-3.0462938960542023,-0.29799208097296326,-0.4428618511901687,-0.11833291432121301,-0.434507232416933,2.226408809875724
COVID_2020,V0.1,96,53,57.291666666666664,71.875,62.5,43.75,7.293495629121644,-5.400543469884455,-1.2348446407707638,-1.6578897882622379,-1.0585727254093096,-2.151102878342778,4.2433062886503725
COVID_2020,V0.2A_ROC5,72,45,48.61111111111111,72.22222222222221,69.44444444444444,55.55555555555556,8.386903232237017,-3.851724690757991,0.43921747676432066,3.009994575459386,2.5832458065330064,0.9411822186965154,3.5744754901971487
GFC_2007_2009,V0.1,112,45,34.82142857142857,75.89285714285714,67.85714285714286,50.0,6.6408646240218525,-3.736149888038043,0.36113914978235423,1.1760013807831828,1.948834700815492,2.5019848937391975,3.837684933886354
GFC_2007_2009,V0.2A_ROC5,72,40,36.11111111111111,73.61111111111111,62.5,44.44444444444444,5.4741018171477425,-3.3254606059989946,0.3301134500421652,1.3738958098154102,1.927057432677557,2.161860237113381,3.700503620779194
