group,n,pass_n,fail_n,pass_share_pct,delta_stop_pp,delta_hit3_pp,delta_hit5_pp,delta_mfe_pp,delta_mae_pp,delta_ret5_pp,delta_ret10_pp,delta_ret15_pp,delta_ret20_pp
ALL_2279,2279,1351,928,59.28038613426941,-2.870399321064859,0.9221298399652937,0.5142263712703183,0.013848692912993066,0.06832508707557938,-0.20736774424106563,0.14405938045542818,0.45849750190258687,0.3430085382247442
DISCOVERY,1278,730,548,57.12050078247261,1.9603039696030393,-2.186281371862819,-3.162683731626835,-0.32700991128231305,0.10751650767528131,-0.2873320640820367,0.30488125546835665,0.5158193612676147,0.08332600778855848
VALIDATION,1001,621,380,62.03796203796204,-9.616916687854896,5.233494363929147,5.269514365624197,0.47338769414464643,0.00977114632307341,-0.09560850385375602,-0.0942851070035225,0.3601436217742431,0.6515864401463765
