ticker,signal_type,signal_date,entry_date,entry_open,regime,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct
ABT,STOCH_ONLY_CONTROL,2007-08-01,2007-08-02,20.72,GREEN,2007-07-26,20.072,3.228377839776808,False,,11.192084942084946,-1.6505791505791456,11.192084942084946,-1.6505791505791456,7.326254826254841,1.3175675675675569,1.9015444015444194,0.419884169884166,True,2.0,True,2.0,True,3.0
ABT,V0.1,2007-08-01,2007-08-02,20.72,GREEN,2007-07-26,20.072,3.228377839776808,False,,11.192084942084946,-1.6505791505791456,11.192084942084946,-1.6505791505791456,7.326254826254841,1.3175675675675569,1.9015444015444194,0.419884169884166,True,2.0,True,2.0,True,3.0
ADP,STOCH_ONLY_CONTROL,2007-08-01,2007-08-02,34.697,GREEN,2007-07-24,33.311,4.160787727777615,False,,4.579646655330438,-3.7496037121365067,4.579646655330438,-3.7496037121365067,1.1931867308412558,-0.7781652592443233,-0.37755425541112775,-2.510303484451115,True,1.0,True,3.0,False,
ADP,V0.1,2007-08-01,2007-08-02,34.697,GREEN,2007-07-24,33.311,4.160787727777615,False,,4.579646655330438,-3.7496037121365067,4.579646655330438,-3.7496037121365067,1.1931867308412558,-0.7781652592443233,-0.37755425541112775,-2.510303484451115,True,1.0,True,3.0,False,
FITB,STOCH_ONLY_CONTROL,2007-08-01,2007-08-02,31.348,GREEN,2007-07-24,30.444,2.9693864144002102,True,18.0,11.005486793415864,-5.4676534388158675,11.005486793415864,-4.89664412402705,4.10552507336992,-1.891667729998725,-0.20734975118029686,-4.497894602526475,True,0.0,True,2.0,True,3.0
KO,STOCH_ONLY_CONTROL,2007-08-01,2007-08-02,21.683,GREEN,2007-07-31,21.227,2.1482074716163257,False,,6.940921459207661,-0.6226075727528535,6.940921459207661,-0.6226075727528535,5.059263017110194,0.4058478992759351,1.5449891620163303,0.4473550707927876,True,1.0,True,3.0,True,4.0
PPG,STOCH_ONLY_CONTROL,2007-08-01,2007-08-02,35.216,GREEN,2007-07-30,33.696,4.5109211775878455,True,5.0,0.8632439800090985,-14.198091776465239,0.8632439800090985,-8.88232621535665,-8.6579963652885,-9.717174011812812,-7.908337119491149,-6.993980009086787,False,,False,,False,
STT,STOCH_ONLY_CONTROL,2007-08-01,2007-08-02,59.961,GREEN,2007-07-27,57.134,4.948016942626099,True,9.0,7.137973015793597,-13.133536798919298,7.137973015793597,-8.904121011991128,3.657377295241915,-8.817397975350637,-6.4491919747836075,-12.616534080485643,True,3.0,True,3.0,True,4.0
WMT,STOCH_ONLY_CONTROL,2007-08-02,2007-08-03,39.697,GREEN,2007-07-27,38.653,2.700954647763454,True,7.0,3.6778597878932784,-8.096329697458259,3.6778597878932784,-6.806559689649106,-1.3502279769252112,-6.872055822858158,-6.343048593092682,-6.574804141370882,True,3.0,True,3.0,False,
WMT,V0.1,2007-08-02,2007-08-03,39.697,GREEN,2007-07-27,38.653,2.700954647763454,True,7.0,3.6778597878932784,-8.096329697458259,3.6778597878932784,-6.806559689649106,-1.3502279769252112,-6.872055822858158,-6.343048593092682,-6.574804141370882,True,3.0,True,3.0,False,
TGT,STOCH_ONLY_CONTROL,2007-08-03,2007-08-06,50.126,YELLOW,2007-07-26,48.781,2.7572210491789706,True,7.0,9.5439492478953,-7.638750349120215,9.164904440809174,-4.508638231656226,4.23732194868931,-2.6493237042652384,2.5575549614970328,5.837290029126607,True,0.0,True,1.0,True,2.0
LLY,STOCH_ONLY_CONTROL,2007-08-06,2007-08-07,43.859,GREEN,2007-07-30,42.045,4.31442502081103,False,,5.693244260015051,-3.8669372306710303,5.693244260015051,-3.8669372306710303,-0.5358079299573659,-0.9986547800907464,0.4674069176223705,2.601518502473832,True,0.0,True,1.0,True,2.0
MCD,STOCH_ONLY_CONTROL,2007-08-06,2007-08-07,39.67,GREEN,2007-07-27,38.456,3.1568545870605424,False,,5.87849760524326,-4.812200655407106,5.87849760524326,-4.812200655407106,-1.8351399042097372,-1.0763801361230119,-0.7335518023695586,0.4965969246281787,True,0.0,True,1.0,True,2.0
MCD,V0.1,2007-08-06,2007-08-07,39.67,GREEN,2007-07-27,38.456,3.1568545870605424,False,,5.87849760524326,-4.812200655407106,5.87849760524326,-4.812200655407106,-1.8351399042097372,-1.0763801361230119,-0.7335518023695586,0.4965969246281787,True,0.0,True,1.0,True,2.0
VFC,STOCH_ONLY_CONTROL,2007-08-06,2007-08-07,18.87,GREEN,2007-07-23,17.999,4.839157730985066,True,6.0,5.728669846316903,-11.547429782723906,5.728669846316903,-8.108108108108114,-3.529411764705881,-7.23900370959194,-11.494435612082675,-8.404875463699002,True,0.0,True,0.0,True,0.0
VFC,V0.1,2007-08-06,2007-08-07,18.87,GREEN,2007-07-23,17.999,4.839157730985066,True,6.0,5.728669846316903,-11.547429782723906,5.728669846316903,-8.108108108108114,-3.529411764705881,-7.23900370959194,-11.494435612082675,-8.404875463699002,True,0.0,True,0.0,True,0.0
EMR,STOCH_ONLY_CONTROL,2007-08-07,2007-08-08,39.741,GREEN,2007-07-30,37.892,4.879657975298213,True,1.0,2.2898266274125056,-11.46674718804258,1.6959814800835415,-6.346090938828919,-5.087944440250613,-3.7115321708059756,-1.0669082307943945,-0.24911300671849324,False,,False,,False,
EMR,V0.1,2007-08-07,2007-08-08,39.741,GREEN,2007-07-30,37.892,4.879657975298213,True,1.0,2.2898266274125056,-11.46674718804258,1.6959814800835415,-6.346090938828919,-5.087944440250613,-3.7115321708059756,-1.0669082307943945,-0.24911300671849324,False,,False,,False,
GE,STOCH_ONLY_CONTROL,2007-08-07,2007-08-08,31.802,GREEN,2007-08-03,30.602,3.9213123325272825,True,4.0,2.4275202817432895,-8.354820451543931,2.4275202817432895,-5.8486887617130945,-6.581347085088984,-0.9087478774919777,-2.003018678070567,-0.2547009622036356,True,0.0,False,,False,
GE,V0.1,2007-08-07,2007-08-08,31.802,GREEN,2007-08-03,30.602,3.9213123325272825,True,4.0,2.4275202817432895,-8.354820451543931,2.4275202817432895,-5.8486887617130945,-6.581347085088984,-0.9087478774919777,-2.003018678070567,-0.2547009622036356,True,0.0,False,,False,
