group_type,group,n,stocks,signal_days,stop_rate_pct,hit3_pct,hit5_pct,avg_mfe_pct,avg_mae_pct,avg_ret5_pct,avg_ret10_pct,avg_ret15_pct,avg_ret20_pct,median_ret20_pct,positive_ret20_pct,ret20_q05_pct,ret20_q10_pct,ret20_q90_pct,ret20_q95_pct,worst_decile_mean_ret20_pct
TOTAL,ALL_2279,2279,96,1035,48.837209302325576,54.10267661254936,35.54190434401053,4.551020115600773,-3.089010846425838,0.17410292582507092,0.2950737899041467,0.6108476792698665,0.9408782100433075,1.202685112500168,58.490566037735846,-9.947528159312723,-6.585803407647617,8.51944927117796,10.988612332138542,-11.94718829312842
SAMPLE,DISCOVERY,1278,91,583,47.652582159624416,54.77308294209703,35.0547730829421,4.576785096396483,-3.1149283025940666,0.19952441672476462,0.19891094437669524,0.5175101581747115,0.7975729490940133,1.1628689851161056,59.780907668231606,-11.326560889840353,-6.79746963869033,8.23404667800293,10.960624774669245,-13.914218623678117
SAMPLE,VALIDATION,1001,69,452,50.349650349650354,53.246753246753244,36.163836163836166,4.518125364894559,-3.0559214268624055,0.14164671666442308,0.4178471331449889,0.7300138650437008,1.1238393723741749,1.3081941366205108,56.84315684315684,-8.648787682661096,-6.443618367121296,8.871098606818496,11.08517523383905,-9.389712701440631
WINDOW,GFC_2007_2009,160,46,81,39.375,71.875,50.625,6.7008576984031905,-3.4872308683758293,0.5390421331023969,1.1100621957962369,1.8946064187574578,2.0532140767608515,1.7409802531945462,62.5,-8.481996140110516,-4.547440790124326,10.814151136947459,14.59050872221911,-11.376832250647329
WINDOW,BULL_2013_2014,447,52,184,41.163310961968676,57.494407158836694,39.14988814317674,4.6206356614953785,-2.242204852960878,0.835394411056069,1.2518156251056751,2.028415828676414,2.6203881684894546,2.345133987571346,69.12751677852349,-5.106456127139855,-3.751408290870129,8.627129615669924,11.691239285716149,-6.363464049080179
WINDOW,CHOP_2015_2016,312,51,147,53.52564102564102,42.628205128205124,21.794871794871796,3.283662498478226,-2.9312186220429637,0.05743176390144321,0.18198084967101685,0.22090487281305188,0.1868396594009893,0.1122795405846144,51.60256410256411,-8.363598450639259,-5.3292863028278665,6.1618334489998965,8.79890259653118,-8.671374749446024
WINDOW,BULL_2017,172,50,105,41.27906976744186,53.48837209302325,34.883720930232556,4.28046032076209,-2.1496836969047326,0.6742489831484392,1.076284059448802,1.4767625966823121,1.8230826778529268,2.0428667965937897,69.18604651162791,-6.121643768874249,-4.364576278760274,7.373333133565588,8.807184062338965,-7.825063815716103
WINDOW,COVID_2020,129,58,45,72.09302325581395,55.81395348837209,31.007751937984494,4.996385378538817,-6.590333224858689,-2.406729600120276,-5.219237465509273,-6.303333941414179,-6.184946379890473,-5.622303855272925,39.53488372093023,-32.2027497731021,-21.875308076169024,9.211778445304642,11.836076722518639,-32.68598515526316
WINDOW,BEAR_2022,58,41,21,53.44827586206896,53.44827586206896,41.37931034482759,5.28093779713736,-4.9347770784445215,-0.4844354394390265,-0.8893206742771229,-1.004419461670173,-0.9402697581433516,-1.6145325079219064,41.37931034482759,-11.929917840401007,-10.283222030323001,8.535463476981649,9.906087589164803,-12.96086136458077
WINDOW,VALIDATION_2018,167,51,78,48.50299401197605,61.67664670658682,34.73053892215569,4.709529847091058,-3.3083095778337777,0.14983970869031188,0.7138616966473065,0.7149108006335066,1.205329927914639,1.162110045114595,57.48502994011976,-9.244948994862861,-5.676088473611291,9.64901806158175,10.588453707465943,-9.359635485007422
WINDOW,VALIDATION_2019,136,50,67,50.0,47.05882352941176,30.14705882352941,4.205361979603662,-2.840496033336825,-0.04955573637569913,0.42091344132774416,1.292346943533362,2.187995867398211,2.153717480864248,63.23529411764706,-6.88766948735329,-3.8534184248420367,8.50035225454834,11.095638767782205,-6.834989761536226
WINDOW,VALIDATION_2021,230,61,98,46.52173913043478,52.60869565217391,38.26086956521739,5.035056157699678,-3.045441821776523,0.16985325096380535,0.5494476166192395,1.436337442790214,2.059074574349736,1.8806153240473522,63.47826086956522,-8.644812240402986,-6.228191276440515,10.444639759309398,13.511956496056616,-8.895713471047983
WINDOW,VALIDATION_2023_2024,468,65,209,52.991452991452995,52.35042735042735,37.39316239316239,4.2866663681585955,-3.0336123274543128,0.1804240693487719,0.2466514895193063,0.22486533983047502,0.3258942814491627,0.40480334633207216,51.49572649572649,-9.096680476390993,-6.795491787646214,7.568067768500031,9.625943795398765,-10.127800175824104
REGIME,GREEN,2129,96,982,49.17801784875528,53.3583842179427,34.61719116956318,4.419382137268583,-2.9764653054218035,0.19639340446081818,0.3783072596550391,0.6887226269563581,1.0302074656804276,1.1914783833982368,58.66604039455143,-9.042628322311312,-6.151844791800318,8.036532973229962,10.678328316349212,-10.58971184322806
REGIME,YELLOW,150,63,53,44.0,64.66666666666666,48.66666666666667,6.419401821395641,-4.6864072250764295,-0.1422732676116351,-0.8862865907601861,-0.49445741156040335,-0.32700169163288495,1.8237530589049533,56.00000000000001,-19.261336703877614,-14.81651598059078,11.375052523149918,14.734484425357085,-24.919815003155552
WINDOW_FAMILY,BULL,1453,75,663,46.66207845836201,53.61321403991741,37.0956641431521,4.499528782969553,-2.6693054466153843,0.4171763653636613,0.7183293321303953,1.2195862472475318,1.6576440782452124,1.6841965507120582,62.009635237439774,-7.54958228579075,-5.492741078898265,8.482027200900424,11.054998083236805,-8.56690543297082
WINDOW_FAMILY,CORRECTION_BEAR,537,65,246,51.955307262569825,49.72067039106145,27.932960893854748,3.942809266710205,-3.264888231146048,0.027643735942400112,0.23168031532473796,0.24219012150204422,0.38184064380361077,0.2459515087183339,52.327746741154556,-9.361313887928215,-6.430840037811791,7.821229104833105,9.883174142142943,-9.822169973225991
WINDOW_FAMILY,CRISIS,289,80,126,53.979238754325266,64.70588235294117,41.86851211072664,5.940037873965459,-4.872352681477175,-0.7758525159831561,-1.7151269263781947,-1.7646818388970094,-1.624027095931262,0.3050136620702748,52.24913494809689,-21.602160626737493,-15.078527151940124,10.484498995448849,13.794393729825774,-26.036853767702475
