window,stop_ci95_low,stop_ci95_high,stop_boot_valid,hit3_ci95_low,hit3_ci95_high,hit3_boot_valid,ret20_ci95_low,ret20_ci95_high,ret20_boot_valid
2015_2016,-0.31439596013482085,27.30724027144871,2000,-19.3467052776791,7.5990099928853345,2000,-2.551738644957947,0.07436943330619822,2000
2022,-2.024642024642025,51.12179487179481,2000,-52.29186602870813,-4.235057155082834,2000,-8.67272335516232,2.275987632136252,2000
COVID_2020,-31.02620967741936,7.827827333465039,2000,-4.053671880173228,31.950505498642134,2000,-2.7226553056853913,7.883043005801531,2000
GFC_2007_2009,-25.839826722440744,5.817042765382008,2000,-28.52588696727087,0.03078214916200298,2000,-1.573473721683568,4.074896994405335,2000
ALL_WINDOWS_POOLED,-8.376081586187404,12.667356707696134,2000,-13.875127167363237,3.2107948909303436,2000,-1.5017832359895364,2.2656085317161523,2000
