month,signals,stocks,avg_ret_20d_pct,avg_mfe_pct,avg_mae_pct,stop_rate_pct
2022-01,19,19,-4.097148583822915,5.259997518986935,-6.618495616144648,78.94736842105263
2022-02,17,17,-2.3492360087742536,3.1363626811513887,-4.592801180588189,64.70588235294117
2022-03,2,2,8.787508081937922,10.288509099340772,-0.9785866450623848,0.0
