window,signal_type,regime,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
BEAR_2022,V0.1,GREEN,24,24,79.16666666666666,45.83333333333333,33.33333333333333,25.0,4.186881560660399,-6.328725636978891,-2.4034166622318227,-3.234297262832928,-6.145600987635334,-5.151632188046169,4.184463866654598
BEAR_2022,V0.1,YELLOW,14,12,50.0,71.42857142857143,64.28571428571429,42.857142857142854,5.2392837914958275,-3.8497680348438625,0.9366869488328696,0.9601342185774678,1.2601552150789048,1.6736711490703509,4.3743372364722255
BEAR_2022,V0.2A_ROC5,GREEN,20,20,80.0,45.0,35.0,25.0,4.3896605996217035,-7.0349136699418064,-2.7474230332397487,-3.5983150195543727,-6.409579609492065,-6.016034277897463,4.595870142831881
BEAR_2022,V0.2A_ROC5,YELLOW,7,7,28.57142857142857,71.42857142857143,71.42857142857143,42.857142857142854,5.432500931177649,-2.2845323191890796,-0.5952701715920375,0.20196261195699147,2.446368066247641,4.390921404920016,3.4700851885819617
BULL_2013_2014,V0.1,GREEN,300,52,39.666666666666664,70.66666666666667,59.66666666666667,42.0,4.6645381149354606,-2.173122682993653,0.8156529973650101,1.442758014297579,2.2112847180508863,2.60825601627458,2.42108882358425
BULL_2013_2014,V0.1,YELLOW,14,14,0.0,100.0,100.0,100.0,12.442118979276982,-0.5869935380692256,5.564600471998267,9.052804704489478,10.94189333504204,11.199736431582755,5.877879826652677
BULL_2013_2014,V0.2A_ROC5,GREEN,208,51,43.75,67.78846153846155,55.28846153846154,40.38461538461539,4.69559450623264,-2.345894321973292,0.7655615555998447,1.1681503080681048,2.0729839605889175,2.4279623964008152,2.4766945634678628
BULL_2017,V0.1,GREEN,111,47,50.45045045045045,62.16216216216216,45.04504504504504,27.927927927927925,3.478863879832258,-2.201395485975407,0.2500541538658508,0.4855056609681214,0.885478445589884,1.0162703371778157,1.7872788766944314
BULL_2017,V0.2A_ROC5,GREEN,80,43,51.24999999999999,62.5,46.25,26.25,3.2448377192093303,-2.200003159835743,-0.05194438715159784,0.2999374049702938,0.6823075067126263,0.6237446610712544,1.7510017573871162
CHOP_2015_2016,V0.1,GREEN,189,51,57.67195767195767,53.43915343915344,40.74074074074074,17.989417989417987,2.982126083179279,-2.9726729050473053,-0.03593859032539032,-0.19969098692684756,-0.12279715382951721,-0.3047915846020948,2.262475835898914
CHOP_2015_2016,V0.1,YELLOW,12,11,66.66666666666666,58.333333333333336,50.0,16.666666666666664,2.73977022185586,-4.34977572893232,-1.0535800322018913,-0.7819208995501405,-1.6000400376296715,-2.652126421791064,3.3528542887432455
CHOP_2015_2016,V0.2A_ROC5,GREEN,142,50,61.97183098591549,50.70422535211267,35.91549295774648,14.788732394366196,2.6346520854328723,-2.9974318389879597,-0.2885716802664548,-0.4006283362550724,-0.02676275127440013,-0.25303044966836,2.2148419533443042
CHOP_2015_2016,V0.2A_ROC5,YELLOW,3,3,66.66666666666666,66.66666666666666,66.66666666666666,0.0,2.824809973525381,-5.359097930523016,-0.7438910477476949,-2.441914891451398,-4.45265396520369,-9.024408282516061,3.6701818483766413
COVID_2020,V0.1,GREEN,64,43,59.375,67.1875,60.9375,39.0625,5.187854159989839,-3.4997749107561207,-0.012001064104880221,-0.56916578067964,-1.345223181466312,-2.8512147014549787,3.0800663669817485
COVID_2020,V0.1,YELLOW,32,32,53.125,81.25,65.625,53.125,11.504778567385252,-9.202080588141124,-3.680531794102531,-3.835337803427434,-0.48527181329530533,-0.7508792321183761,9.179929251226326
COVID_2020,V0.2A_ROC5,GREEN,53,39,64.15094339622641,64.15094339622641,60.37735849056604,41.509433962264154,5.27393539702725,-3.5794092412840195,0.18433273497947117,-0.16733519946791095,-1.3860090531686393,-3.702465547327091,2.828369024881394
COVID_2020,V0.2A_ROC5,YELLOW,19,19,5.263157894736842,94.73684210526315,94.73684210526315,94.73684210526315,17.070445088348464,-4.611341470869594,1.1502117564799537,11.873072368677635,13.655377783595492,13.894515460762364,15.306545986071818
GFC_2007_2009,V0.1,GREEN,104,45,35.57692307692308,75.96153846153845,67.3076923076923,50.0,6.545720730706672,-3.7485540084534046,0.24857083410964026,1.0024483126050938,1.7856822930275267,2.290882657059953,3.700503620779194
GFC_2007_2009,V0.1,YELLOW,8,7,25.0,75.0,75.0,50.0,7.87773523711921,-3.574896322638338,1.8245272535276342,3.432191267098342,4.069816002059043,5.246313970569376,5.572388993622878
GFC_2007_2009,V0.2A_ROC5,GREEN,70,40,35.714285714285715,74.28571428571429,62.857142857142854,44.285714285714285,5.499487144641924,-3.31849297756813,0.35338087894713177,1.408897503726904,1.9667894635307814,2.2078655009713777,3.685836941150078
GFC_2007_2009,V0.2A_ROC5,YELLOW,2,2,50.0,50.0,50.0,50.0,4.585615354851402,-3.569327601079247,-0.48424656163166824,0.14883652291313165,0.5364363528147176,0.5516760020834954,4.329446038160089
