window,n,max_abs_spy_close_drift_pct,max_abs_spy_ma50_drift_pct,max_abs_spy_ma200_drift_pct,median_abs_spy_close_drift_pct
BEAR_2022,58,3.589795245506622e-05,1.8297714454718061e-06,1.1689245571488982e-06,7.554752129435016e-06
BULL_2013_2014,447,0.0,3.3306690738754696e-14,2.220446049250313e-14,0.0
BULL_2017,172,4.226908627558146e-05,6.282180864403131e-06,2.492067951997967e-06,7.415290148582443e-06
CHOP_2015_2016,312,0.0,3.3306690738754696e-14,2.220446049250313e-14,0.0
COVID_2020,129,4.111619784641363e-05,4.709285272852526e-06,1.5228952987556e-06,1.890487285605147e-05
GFC_2007_2009,160,0.0,2.220446049250313e-14,1.1102230246251565e-14,0.0
