signal_type,regime,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
STOCH_ONLY_CONTROL,GREEN,281,51,54.804270462633454,55.871886120996436,42.34875444839858,21.70818505338078,3.3074300697361276,-2.7727483048736463,0.15962373160382454,0.22964771856922833,0.3774524017362065,0.4626385777430585,2.2895170645338636
STOCH_ONLY_CONTROL,YELLOW,31,26,41.935483870967744,58.06451612903226,45.16129032258064,22.58064516129032,3.0682209654630532,-4.367675367997095,-0.8688889755943356,-0.25009625227728816,-1.1981227280710274,-2.313144084280348,4.203268641470892
V0.1,GREEN,189,51,57.67195767195767,53.43915343915344,40.74074074074074,17.989417989417987,2.982126083179279,-2.9726729050473053,-0.03593859032539032,-0.19969098692684756,-0.12279715382951721,-0.3047915846020948,2.262475835898914
V0.1,YELLOW,12,11,66.66666666666666,58.333333333333336,50.0,16.666666666666664,2.73977022185586,-4.34977572893232,-1.0535800322018913,-0.7819208995501405,-1.6000400376296715,-2.652126421791064,3.3528542887432455
