signal_type,regime,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
STOCH_ONLY_CONTROL,GREEN,105,53,68.57142857142857,71.42857142857143,59.04761904761905,33.33333333333333,4.901418303599328,-5.385898150556135,-1.1196436875856823,-2.8072260371825473,-4.281816052464447,-4.330546258410584,3.2556367176995504
STOCH_ONLY_CONTROL,YELLOW,25,25,84.0,80.0,44.0,20.0,5.368314539559183,-11.431438342116921,-7.682393077019842,-15.061973433233584,-14.398741021292164,-13.78995884460804,6.695365496848638
V0.1,GREEN,65,43,58.46153846153847,67.6923076923077,61.53846153846154,38.46153846153847,5.174550650696756,-3.4893139419998183,0.0011972076995335876,-0.5300430900405747,-1.269589875134475,-2.83193199341886,3.068152381040523
V0.1,YELLOW,32,32,53.125,81.25,65.625,53.125,11.504780181605396,-9.202083257606528,-3.6805327769245157,-3.8353402570335535,-0.4852718647324872,-0.7508781430690852,9.179915986409181
