ticker,signal_type,signal_date,entry_date,entry_open,regime,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct
CINF,V0.1,2015-01-08,2015-01-09,47.955,GREEN,2015-01-07,46.18,3.8436552620181974,False,,0.5526013971431487,-4.1247002398081545,0.5526013971431487,-4.1247002398081545,-1.2595141278281652,0.14597018037743048,-1.8517360025023466,-1.5097487227609174,False,,False,,False,
HRL,STOCH_ONLY_CONTROL,2015-01-08,2015-01-09,24.623,GREEN,2015-01-07,24.031,2.4634846656402143,True,1.0,4.849124802014382,-3.452057019859489,0.5401453925191868,-2.944401575762501,-0.3736344068553832,3.045932664581885,0.10559233237217303,2.7250944239125996,False,,False,,False,
NUE,STOCH_ONLY_CONTROL,2015-01-08,2015-01-09,44.134,GREEN,2015-01-05,42.104,4.821394641839261,True,2.0,1.9146236461684785,-10.615398558934164,0.16767118321474594,-5.76879503330765,-7.520279149861786,-7.703811120677928,-7.95531789550007,0.04531653600399199,False,,False,,False,
APD,STOCH_ONLY_CONTROL,2015-01-16,2015-01-20,130.95,GREEN,2015-01-15,127.33,2.8430063614230727,False,,9.400534555173735,-1.8174875906834642,9.400534555173735,-1.8174875906834642,0.6338297059946596,5.276823214967563,6.613211149293652,9.16380297823598,True,2.0,True,7.0,True,7.0
PG,STOCH_ONLY_CONTROL,2015-01-16,2015-01-20,82.955,GREEN,2015-01-13,81.219,2.1374308967113675,True,5.0,1.1958290639503488,-7.643903321077683,1.1958290639503488,-5.061780483394607,-4.542221686456516,-5.137725272738236,-5.754927370260987,-4.7965764571152985,False,,False,,False,
PG,V0.1,2015-01-16,2015-01-20,82.955,GREEN,2015-01-13,81.219,2.1374308967113675,True,5.0,1.1958290639503488,-7.643903321077683,1.1958290639503488,-5.061780483394607,-4.542221686456516,-5.137725272738236,-5.754927370260987,-4.7965764571152985,False,,False,,False,
BEN,STOCH_ONLY_CONTROL,2015-01-21,2015-01-22,50.002,GREEN,2015-01-13,48.06,4.040782355389094,False,,3.6938522459101453,-3.6198552057917777,3.6938522459101453,-3.6198552057917777,0.22999080036798514,1.751929922803086,2.1899124035038575,3.1018759249629824,True,0.0,True,0.0,False,
BEN,V0.1,2015-01-21,2015-01-22,50.002,GREEN,2015-01-13,48.06,4.040782355389094,False,,3.6938522459101453,-3.6198552057917777,3.6938522459101453,-3.6198552057917777,0.22999080036798514,1.751929922803086,2.1899124035038575,3.1018759249629824,True,0.0,True,0.0,False,
GPC,STOCH_ONLY_CONTROL,2015-01-21,2015-01-22,90.918,GREEN,2015-01-12,87.104,4.378673769287289,True,6.0,0.8029213137112468,-6.513561670956259,0.8029213137112468,-5.50716029829077,-2.869618777359828,-2.332871378604906,-1.476055346576055,-1.9963043621725185,False,,False,,False,
GPC,V0.1,2015-01-21,2015-01-22,90.918,GREEN,2015-01-12,87.104,4.378673769287289,True,6.0,0.8029213137112468,-6.513561670956259,0.8029213137112468,-5.50716029829077,-2.869618777359828,-2.332871378604906,-1.476055346576055,-1.9963043621725185,False,,False,,False,
GWW,STOCH_ONLY_CONTROL,2015-01-21,2015-01-22,229.07,GREEN,2015-01-13,219.55,4.33614210885902,True,2.0,0.9953289387523379,-6.60060243593662,0.9953289387523379,-4.775832714890649,-3.7936002095429355,-1.680708953594967,-4.020605055223281,-2.4533985244685086,False,,False,,False,
GWW,V0.1,2015-01-21,2015-01-22,229.07,GREEN,2015-01-13,219.55,4.33614210885902,True,2.0,0.9953289387523379,-6.60060243593662,0.9953289387523379,-4.775832714890649,-3.7936002095429355,-1.680708953594967,-4.020605055223281,-2.4533985244685086,False,,False,,False,
SWK,STOCH_ONLY_CONTROL,2015-01-21,2015-01-22,88.074,GREEN,2015-01-15,85.584,2.9094223219293225,False,,6.623975293503204,-3.1382700910597805,6.623975293503204,-3.1382700910597805,2.764720575879376,3.398278720167136,4.6052183391239065,6.387810250471193,True,5.0,True,5.0,True,16.0
SWK,V0.1,2015-01-21,2015-01-22,88.074,GREEN,2015-01-15,85.584,2.9094223219293225,False,,6.623975293503204,-3.1382700910597805,6.623975293503204,-3.1382700910597805,2.764720575879376,3.398278720167136,4.6052183391239065,6.387810250471193,True,5.0,True,5.0,True,16.0
TROW,STOCH_ONLY_CONTROL,2015-01-21,2015-01-22,73.674,GREEN,2015-01-14,71.323,3.2962718898532195,True,5.0,4.168363330347202,-4.70586638434185,4.168363330347202,-4.70586638434185,-3.2033010288568753,-0.07601053288814885,0.5700789966609499,2.101148301978961,True,0.0,True,2.0,False,
TROW,V0.1,2015-01-21,2015-01-22,73.674,GREEN,2015-01-14,71.323,3.2962718898532195,True,5.0,4.168363330347202,-4.70586638434185,4.168363330347202,-4.70586638434185,-3.2033010288568753,-0.07601053288814885,0.5700789966609499,2.101148301978961,True,0.0,True,2.0,False,
ADM,STOCH_ONLY_CONTROL,2015-01-23,2015-01-26,44.088,GREEN,2015-01-07,43.063,2.3802336112207723,True,7.0,2.96679368535655,-3.79241516966069,2.5607875158773385,-3.79241516966069,1.0320268553801526,-0.6237524950099771,0.7915986209399373,2.6492469606242075,True,1.0,False,,False,
ADM,V0.1,2015-01-23,2015-01-26,44.088,GREEN,2015-01-07,43.063,2.3802336112207723,True,7.0,2.96679368535655,-3.79241516966069,2.5607875158773385,-3.79241516966069,1.0320268553801526,-0.6237524950099771,0.7915986209399373,2.6492469606242075,True,1.0,False,,False,
ABT,STOCH_ONLY_CONTROL,2015-01-29,2015-01-30,42.599,GREEN,2015-01-27,40.674,4.732753110094889,False,,5.457874597995271,-2.467194065588385,5.457874597995271,-2.467194065588385,0.21596751097445743,1.5188149956571806,4.225451301673755,4.007136317753934,True,11.0,True,14.0,True,17.0
CL,STOCH_ONLY_CONTROL,2015-01-29,2015-01-30,64.285,GREEN,2015-01-27,61.011,5.366245431151739,False,,4.301158901765567,-2.003577817531299,4.301158901765567,-2.003577817531299,1.390682118690223,2.5309170101890155,3.408260091778792,3.8920432449249587,True,3.0,True,11.0,False,
