signal_type,ticker,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
STOCH_ONLY_CONTROL,ABBV,4,1,75.0,75.0,25.0,25.0,4.878406270351881,-7.049525109617349,3.664337411071761,2.6707277190678473,0.889884093990398,2.8386950047920867,4.721875746023696
STOCH_ONLY_CONTROL,ABT,3,1,66.66666666666666,66.66666666666666,33.33333333333333,33.33333333333333,2.799270047625487,-5.510753255834803,0.6990482519501148,1.620022697784303,-3.5383336768455247,0.5815036555116948,5.650784688486543
STOCH_ONLY_CONTROL,ADM,2,1,50.0,50.0,50.0,50.0,3.6038497788710044,-5.64848234467199,-3.545592614190846,-7.551782157380938,-6.318236562610008,-3.957825153545053,5.35191818798485
STOCH_ONLY_CONTROL,ADP,1,1,100.0,100.0,100.0,0.0,3.9136453856225106,-8.035598993681713,-6.571142427950926,-25.30773244049913,-22.13840077203384,-17.609858024659207,5.241496927871925
STOCH_ONLY_CONTROL,AFL,1,1,100.0,0.0,0.0,0.0,1.7316755073036871,-1.7126667986310795,-0.30446927487862707,-1.8648907329391395,0.7231106776193208,0.49477181039416784,0.9606151441085009
STOCH_ONLY_CONTROL,ALB,2,1,50.0,100.0,50.0,50.0,9.357133127020479,-9.317235413973762,-3.637781360924686,-3.4314352837146904,-9.456401081027455,-11.564636056472844,6.931397029261121
STOCH_ONLY_CONTROL,AMCR,3,1,33.33333333333333,66.66666666666666,66.66666666666666,33.33333333333333,4.087881397159054,-5.763473610450439,-5.037280097752139,-8.9216735144516,-4.535438360991254,-7.653606338034069,3.5406611614932304
STOCH_ONLY_CONTROL,AOS,2,1,50.0,100.0,100.0,50.0,10.901393431939997,-1.8458023568357018,5.467137335790117,4.356018848356758,5.010820059602416,7.032434368609408,3.1479293746289994
STOCH_ONLY_CONTROL,APD,3,1,66.66666666666666,100.0,66.66666666666666,33.33333333333333,4.892827021635426,-5.469475336531363,-2.715672409701812,-3.557900439668312,-4.453979866511756,-4.557652390628008,4.263918442907233
STOCH_ONLY_CONTROL,ATO,1,1,100.0,100.0,100.0,0.0,4.82675464761162,-16.147873946226497,-4.71557572575485,-1.9455337106698778,-16.34242199206546,-12.321666137566002,6.104398502980368
STOCH_ONLY_CONTROL,BDX,3,1,100.0,0.0,0.0,0.0,0.8720049521132293,-3.7646041069180307,-3.103529207398322,-4.082915325703348,-3.668512628973486,-7.27329587336255,3.2023511373556524
STOCH_ONLY_CONTROL,BEN,1,1,100.0,100.0,100.0,0.0,3.0331932331737255,-5.825708737919988,-7.221938339431134,-2.468950749238208,8.899083802777152,15.241745214118719,3.746226502026606
STOCH_ONLY_CONTROL,BF-B,2,1,100.0,100.0,100.0,0.0,4.000313048262127,-9.97529345027191,-3.8916576625789068,-5.952764870704424,-8.670982415323913,-11.224887621265738,4.305280725567195
STOCH_ONLY_CONTROL,CAH,5,1,60.0,60.0,60.0,40.0,8.130208552223888,-4.195873782695934,0.9137563680474804,0.78124422001395,-1.6015872276834298,0.7448650839748531,2.5955334752755244
STOCH_ONLY_CONTROL,CAT,3,1,66.66666666666666,66.66666666666666,33.33333333333333,33.33333333333333,6.151621011199526,-8.128769742472693,-7.272709478780949,-7.894004765244445,-5.021074188051159,-2.923623566689519,3.9515077380879893
STOCH_ONLY_CONTROL,CB,2,1,50.0,100.0,50.0,50.0,7.249409538642148,-5.817685429454123,-4.468194495123983,-16.08800789019913,-10.353552688683742,-10.025050396055306,2.2738285941744985
STOCH_ONLY_CONTROL,CL,2,1,100.0,50.0,50.0,0.0,2.4468630621013343,-8.233510124301658,-0.7693802192543842,-2.494981377704292,-7.8684250156463635,-3.2091094894916905,5.715859255640554
STOCH_ONLY_CONTROL,CLX,3,1,33.33333333333333,66.66666666666666,66.66666666666666,33.33333333333333,7.253165400304058,-2.72541655774922,-0.31787357476021166,2.511113737811414,3.1878417921161684,0.3631961938983886,4.22266618921614
STOCH_ONLY_CONTROL,CTAS,2,1,50.0,100.0,100.0,50.0,5.823210826590142,-7.758741670719865,-2.8115645687639135,-10.508262484195319,-16.813087298674116,-14.975230151996726,5.900531288557675
STOCH_ONLY_CONTROL,DOV,3,1,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,6.022490564074548,-5.37104544834687,0.472143368580924,1.5413645503833286,-3.3609304875507284,-0.976963231377263,3.6912800123480194
STOCH_ONLY_CONTROL,ECL,3,1,66.66666666666666,100.0,100.0,66.66666666666666,6.294840393517924,-6.701802558662821,-0.5426140597552531,-3.3705005297627317,-4.9457270424139015,-5.934209489426888,5.987768882749944
STOCH_ONLY_CONTROL,ED,2,1,50.0,100.0,100.0,100.0,9.786679524350895,-8.16291246670665,3.670644920177002,8.149645728362321,-5.11123561447337,-1.076485408165634,5.295309647462809
STOCH_ONLY_CONTROL,EMR,2,1,100.0,0.0,0.0,0.0,0.5004949266804726,-8.145203408508806,-5.614483412148435,-5.08553081601395,-7.926166092362746,-8.857458652903533,5.100415571081052
