window,macd_group,n,spy_roc5_pct_mean,spy_roc5_pct_median,spy_dist_ma50_pct_mean,spy_dist_ma50_pct_median,spy_dist_ma200_pct_mean,spy_dist_ma200_pct_median,spy_ma50_slope10_pct_mean,spy_ma50_slope10_pct_median,spy_rv20_ann_pct_mean,spy_rv20_ann_pct_median,breadth_above_ma50_pct_mean,breadth_above_ma50_pct_median,breadth_5d_positive_pct_mean,breadth_5d_positive_pct_median,cluster_size_mean,cluster_size_median,cluster_share_pct_mean,cluster_share_pct_median
BEAR_2022,MACD_FAIL,25,-2.3270955417553565,-2.393274888453034,-4.709839099277491,-4.934308685263056,-1.1084648795071754,-1.1928221100107939,-0.7678408046568386,-0.9939873014779166,19.523001034074095,23.361178771666697,34.12903225806451,30.64516129032258,31.870967741935484,20.967741935483872,6.92,7.0,10.8125,10.9375
BEAR_2022,MACD_PASS,33,0.280217283604289,0.5526883119511883,-3.279898421989192,-3.6699295716412617,0.6301866987494784,0.06692386226265779,-0.7926437306739822,-0.9920657690443146,19.524960811561332,18.73123655227675,37.48778103616813,37.096774193548384,44.33040078201369,45.16129032258065,4.2727272727272725,4.0,6.676136363636363,6.25
BULL_2013_2014,MACD_FAIL,199,-0.28048980037477805,-0.021339023739663787,1.271831008277082,1.5119347435555985,7.3031484264132995,7.620381213735006,0.7266715444235693,0.7348597991711392,10.665680214825475,10.406627385793028,62.5531503672207,67.3076923076923,49.28488596830306,50.0,5.050251256281407,3.0,9.71202164669501,5.769230769230769
BULL_2013_2014,MACD_PASS,248,0.26857516713347007,0.4865058960440649,0.9632881356473888,1.317239511556756,7.065118645882726,7.145268876100186,0.6331317456515658,0.5410149612248727,11.27628930227958,10.566419525387165,57.86290322580645,61.53846153846154,58.47549627791564,61.53846153846154,4.5,4.0,8.653846153846152,7.6923076923076925
BULL_2017,MACD_FAIL,71,0.28873731966474686,0.22516939587040596,1.7382093597153845,1.697783699325739,6.851226250254948,6.909689982139944,0.7655092340528254,0.7992872921494643,6.989082685592444,6.909741926558505,65.90016288205422,64.70588235294117,52.0247535633972,52.94117647058823,2.1549295774647885,2.0,4.225352112676057,3.9215686274509802
BULL_2017,MACD_PASS,101,0.43123203824220707,0.41060645000488005,1.7445655421471586,1.6026121549969963,7.0850570693734705,6.9936706195316,0.7628880696216095,0.7789045660466121,6.88829571121394,6.87533155909597,68.2367996703632,64.70588235294117,58.71219775038727,60.78431372549019,2.128712871287129,2.0,4.17394680644535,3.9215686274509802
CHOP_2015_2016,MACD_FAIL,132,-1.16743085839531,-0.688336976249182,-0.4089657674956241,-0.05339062524009064,2.9090011885051235,3.907772086505168,0.4087863888123863,0.3629115487421619,12.905473471851346,10.685231352136078,43.71657754010695,45.09803921568628,36.79441473559121,36.274509803921575,4.121212121212121,3.0,8.080808080808081,5.882352941176471
CHOP_2015_2016,MACD_PASS,180,0.29725396640271823,0.294265264217175,0.4745442451316672,0.6146784123860494,4.112631036374838,4.436882349147853,0.3832767500012557,0.31219212776977256,11.155523878890767,10.486701493195136,46.230936819172115,50.98039215686274,55.392156862745104,56.86274509803921,3.4,3.0,6.666666666666667,5.882352941176471
COVID_2020,MACD_FAIL,60,-1.5926538668119674,-3.2803600076640627,-1.7392530365320638,0.14317195470106014,5.345414271472683,8.635792498159134,0.8540608956746791,0.866452281724972,24.608712712602564,24.967958710428,39.48924731182797,54.83870967741935,34.16666666666666,32.25806451612903,10.6,9.5,16.5625,14.84375
COVID_2020,MACD_PASS,69,0.19714290320546363,1.0235248194773838,-0.43250262201884576,0.2296574291746234,6.416188092977591,8.64312352977925,0.8681166938650261,1.1744033381669627,22.521945770021865,22.26245261382559,49.976624590930356,59.67741935483871,50.39738195418419,53.225806451612904,7.2898550724637685,3.0,11.390398550724637,4.6875
GFC_2007_2009,MACD_FAIL,61,-0.38634602503691473,-0.48641825813006134,1.979034238606292,1.9418496349045133,10.756999523899902,14.534831410953885,1.207964464019806,1.3261541115395348,17.223690478271415,16.948147203975182,60.533288725326194,65.3061224489796,42.67915690866511,38.0,2.80327868852459,2.0,5.39092055485498,3.8461538461538463
GFC_2007_2009,MACD_PASS,99,0.9415538512506398,0.33713773158887683,1.7517734927658895,1.9418496349045133,10.251526096932137,14.358263555861184,0.9277840760483164,1.011942145778022,18.31623928794018,18.83317107460123,60.61059575345289,66.0,58.79818594104309,58.0,3.4242424242424243,3.0,6.585081585081585,5.769230769230769
ALL_WINDOWS_POOLED,MACD_FAIL,548,-0.6692002225664571,-0.20293270489657456,0.40354686634786857,1.035078747548246,5.972521829864234,6.5322412378776455,0.6544745660776347,0.6990000809613428,13.389526714405607,11.718277558485823,54.40271529270634,61.53846153846154,43.44619584081844,44.0,4.894160583941606,3.0,8.927495671907169,5.769230769230769
ALL_WINDOWS_POOLED,MACD_PASS,730,0.38319267564107484,0.4444167178569991,0.7340558746027327,1.2143547909722718,6.419764380552842,6.565654151847866,0.5871939934888022,0.6285580362252907,13.029969269064921,10.994485275837363,55.13618937632498,59.67741935483871,56.38874832029416,58.8235294117647,4.008219178082192,3.0,7.432733630860141,5.769230769230769
