window,ticker,data_source,signal_type,signal_date,entry_date,entry_open,regime,spy_close,spy_ma50,spy_ma200,spy_roc5_pct,spy_roc5_pass,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct,roc5_group
BEAR_2022,ED,yfinance,ROC5_FAIL,2022-01-24,2022-01-25,69.67709399811079,GREEN,413.8538513183594,436.6819873046875,413.57709701538084,-5.353774141267342,False,2022-01-20,68.62345975963838,1.535384899220893,False,,7.782167056734135,-0.6884575697809536,7.782167056734135,-0.6884575697809536,5.790522028097178,6.2454031358258,0.9855330532970941,4.758857413382711,True,2.0,True,3.0,True,4.0,ROC5_FAIL
BEAR_2022,LOW,yfinance,ROC5_FAIL,2022-01-25,2022-01-26,212.55732578811873,YELLOW,408.8011169433594,436.1611639404297,413.7037185668945,-4.823760902328722,False,2022-01-19,201.26041029801905,5.613083801911967,True,18.0,3.504484463690316,-11.317517702517833,3.504484463690316,-9.373921311127775,2.8164872792608486,0.4730104449603756,-2.3864835490986502,-8.234443523141188,True,3.0,True,5.0,False,,ROC5_FAIL
BEAR_2022,O,yfinance,ROC5_FAIL,2022-01-25,2022-01-26,54.57356215835114,YELLOW,408.8011169433594,436.1611639404297,413.7037185668945,-4.823760902328722,False,2022-01-20,51.71038671281361,5.536944562876478,True,19.0,1.2824748753005988,-7.569956860505311,1.2824748753005988,-5.6750733557267115,0.964258702026255,-0.8293777762361065,-2.4494523146884495,-4.908439852264457,False,,False,,False,,ROC5_FAIL
BEAR_2022,FRT,yfinance,ROC5_FAIL,2022-01-26,2022-01-27,102.3995966946343,YELLOW,407.7755432128906,435.5541943359375,413.8195297241211,-4.066411484929966,False,2022-01-19,97.21156712725657,5.336843876394104,True,18.0,2.90777429064748,-8.900494949943027,2.90777429064748,-6.814340238670102,0.4027431826230776,-0.1208186285667101,-4.639546502516245,-3.0608144102101886,True,2.0,False,,False,,ROC5_FAIL
BEAR_2022,WST,yfinance,ROC5_FAIL,2022-01-26,2022-01-27,378.3264274167572,YELLOW,407.7755432128906,435.5541943359375,413.8195297241211,-4.066411484929966,False,2022-01-05,356.0208263560753,6.265251751978385,True,18.0,6.788876833177371,-8.833370558467891,6.788876833177371,-6.734023598248484,5.005482033617836,4.326600066498787,1.1279795288670957,0.9112738808038312,True,1.0,True,2.0,True,4.0,ROC5_FAIL
BEAR_2022,KMB,yfinance,ROC5_FAIL,2022-02-15,2022-02-16,110.2642416906226,GREEN,419.7439880371094,431.6576202392578,416.13423248291014,-1.073298926391797,False,2022-02-08,109.01333860536955,1.147477089736082,True,5.0,1.6217284943204513,-9.869227316589502,1.6217284943204513,-3.327253498139693,-2.10903673071815,-0.4735680878305115,-7.971654228852021,-6.780882052384774,False,,False,,False,,ROC5_FAIL
BEAR_2022,DOV,yfinance,ROC5_FAIL,2022-02-16,2022-02-17,152.53988392283867,GREEN,420.2144470214844,431.45844970703126,416.29938232421875,-2.391037626441783,False,2022-02-15,151.45246896203625,0.7179909104519044,True,0.0,0.5268973506914465,-9.397240668634787,0.5268973506914465,-1.3079596544468886,-1.107466755233233,-6.132317657359043,-6.325098309376099,-0.952007845260372,False,,False,,False,,ROC5_FAIL
BEAR_2022,GPC,yfinance,ROC5_FAIL,2022-02-16,2022-02-17,114.44299398744478,GREEN,420.2144470214844,431.45844970703126,416.29938232421875,-2.391037626441783,False,2022-02-14,110.58082000517068,3.492625558477047,True,2.0,2.7611525616694665,-11.31308885117621,2.7611525616694665,-5.867471166289717,-5.307557770914562,-5.2963513075390605,-5.991612028475702,-0.3444544708963826,True,0.0,False,,False,,ROC5_FAIL
BEAR_2022,CL,yfinance,ROC5_FAIL,2022-02-18,2022-02-22,71.25402162410306,YELLOW,408.5753173828125,430.26862182617185,416.5099290466309,-1.4144260217334281,False,2022-02-10,69.4762529015122,2.5588149163872975,True,2.0,0.5544385559755893,-9.022190715952249,0.5544385559755893,-4.914300545647887,-4.183489564138543,-5.657758735583329,-4.876510000578849,-6.123998181296764,False,,False,,False,,ROC5_FAIL
BEAR_2022,PEP,yfinance,ROC5_FAIL,2022-02-22,2022-02-23,146.3259888131334,YELLOW,404.1906433105469,429.6072058105469,416.5646836853027,-2.152508739734693,False,2022-02-14,142.3633276372179,2.783484512256895,True,1.0,0.0,-8.716441442476642,0.0,-5.221131980465898,-2.7199409651246564,-6.317852038735394,-4.94891354105892,-2.6991059372569848,False,,False,,False,,ROC5_FAIL
BEAR_2022,ESS,yfinance,ROC5_FAIL,2022-02-24,2022-02-25,269.2966079017338,YELLOW,402.9956359863281,428.0306317138672,416.68868270874026,-4.097624714524839,False,2022-02-14,259.3852338466905,3.821101883116995,False,,9.27801820629519,-1.6754917299482308,9.27801820629519,-1.6754917299482308,6.727117115560666,5.431253939502656,7.182076135850823,7.150696916303079,True,3.0,True,3.0,True,5.0,ROC5_FAIL
BEAR_2022,MCD,yfinance,ROC5_FAIL,2022-03-14,2022-03-15,206.63158302063667,YELLOW,392.36322021484375,418.92803771972655,417.6699151611328,-0.5793666056778557,False,2022-03-02,197.29610317872485,4.731710201825456,False,,12.062468725117292,0.0,12.062468725117292,0.0,4.447763553738859,8.856059885770273,9.005190643330408,9.294701480178414,True,0.0,True,1.0,True,4.0,ROC5_FAIL
BULL_2013_2014,AFL,legacy,ROC5_FAIL,2013-02-20,2013-02-21,44.66,GREEN,137.62,133.69899999999998,127.00555,-0.43409058023440306,False,2013-02-11,43.172,3.4466784026683905,False,,4.236453201970458,-2.648902821316612,4.236453201970458,-2.648902821316612,0.23958799820871235,3.490819525302302,1.6636811464397772,2.4697716077026532,True,8.0,True,9.0,False,,ROC5_FAIL
BULL_2013_2014,MHFI,legacy,ROC5_FAIL,2013-02-20,2013-02-21,42.541,GREEN,137.62,133.69899999999998,127.00555,-0.43409058023440306,False,2013-02-06,39.241,8.409571621518296,False,,9.595449096166053,-0.8932559178204458,9.595449096166053,-0.8932559178204458,2.689170447333167,5.291365976352247,7.811287933993083,7.193060811922614,True,2.0,True,2.0,True,8.0,ROC5_FAIL
BULL_2013_2014,HCP,legacy,ROC5_FAIL,2013-03-22,2013-03-25,38.116,GREEN,142.1,138.00979999999998,129.31210000000002,-0.14054813773718422,False,2013-03-20,37.464,1.7403373905616082,False,,8.21439815300662,-0.650645398257943,8.21439815300662,-0.650645398257943,2.641935145345786,5.142197502361223,6.72158673522929,7.891699024031906,True,4.0,True,5.0,True,10.0,ROC5_FAIL
BULL_2013_2014,CAH,legacy,ROC5_FAIL,2013-04-04,2013-04-05,38.504,GREEN,142.33,139.3324,130.29385,-0.21733034212000346,False,2013-03-20,37.486,2.715680520727748,False,,10.76771244546022,-0.4259297735300094,10.76771244546022,-0.4259297735300094,2.3685850820693855,1.8985040515271168,4.054124246831492,9.749636401412864,True,3.0,True,4.0,True,13.0,ROC5_FAIL
BULL_2013_2014,DOV,legacy,ROC5_FAIL,2013-04-05,2013-04-08,54.401,GREEN,141.7,139.4502,130.40009999999998,-0.964495387195996,False,2013-04-02,52.948,2.744201858427142,True,7.0,3.477877244903582,-6.643260234186876,3.477877244903582,-4.095512950129598,-2.463190014889438,-5.8785684086689605,-3.5293468870057576,-0.37131670373706793,True,2.0,True,3.0,False,,ROC5_FAIL
BULL_2013_2014,EMR,legacy,ROC5_FAIL,2013-04-05,2013-04-08,48.211,GREEN,141.7,139.4502,130.40009999999998,-0.964495387195996,False,2013-04-02,47.371,1.7732367904413904,True,5.0,3.611209060172982,-4.631723050756042,3.0553193254651445,-3.741884632137893,-3.741884632137893,-3.3747485013793432,-0.6492294289684786,2.930866399784282,True,1.0,True,3.0,False,,ROC5_FAIL
BULL_2013_2014,XOM,legacy,ROC5_FAIL,2013-04-19,2013-04-22,74.516,GREEN,141.99,140.735,131.5526,-2.0893669838642936,False,2013-04-16,72.314,3.045053516608154,False,,6.53014117773365,-0.3623382897632865,6.53014117773365,-0.3623382897632865,0.6830747758870492,3.391217993451079,3.5549412206774322,6.33689408985989,True,1.0,True,10.0,True,13.0,ROC5_FAIL
BULL_2013_2014,KMB,legacy,ROC5_FAIL,2013-05-24,2013-05-28,90.723,GREEN,150.97,145.3918,134.77800000000002,-0.97081010167267,False,2013-05-22,87.961,3.1400279669398845,True,1.0,0.34059720247345826,-9.321781687113518,0.34059720247345826,-4.637192332705043,-6.410722749468167,-5.269887459629874,-3.8270339384720464,-7.5416377324383,False,,False,,False,,ROC5_FAIL
BULL_2013_2014,WMT,legacy,ROC5_FAIL,2013-05-28,2013-05-29,68.824,GREEN,151.88,145.5834,134.90735,-0.3673576489110486,False,2013-05-21,68.019,1.183492847586698,True,1.0,0.0,-5.387655469022434,0.0,-1.8685342322445675,-2.3393002441008948,-2.866732535162153,-3.3636522143438263,-2.6458793444147366,False,,False,,False,,ROC5_FAIL
BULL_2013_2014,KO,legacy,ROC5_FAIL,2013-06-04,2013-06-05,35.981,GREEN,149.39,146.4452,135.50424999999998,-1.639452199104563,False,2013-05-30,34.444,4.462315642782477,True,11.0,0.8032016897807193,-5.222200605875338,0.8032016897807193,-5.222200605875338,-1.7675995664378497,-1.7147939190128247,-1.9093410411050393,-1.5202467969206102,False,,False,,False,,ROC5_FAIL
BULL_2013_2014,MCD,legacy,ROC5_FAIL,2013-06-04,2013-06-05,85.827,GREEN,149.39,146.4452,135.50424999999998,-1.639452199104563,False,2013-05-31,84.456,1.6233304916169367,True,0.0,2.4747457093921454,-3.0305148729420806,0.027963228354721537,-2.0518018805271043,0.10952264438930381,0.6885944982348402,0.7223833991634399,2.2603609586726803,False,,False,,False,,ROC5_FAIL
BULL_2013_2014,PEP,legacy,ROC5_FAIL,2013-06-04,2013-06-05,71.712,GREEN,149.39,146.4452,135.50424999999998,-1.639452199104563,False,2013-05-30,70.19,2.1684000569881734,True,11.0,2.8405287817938385,-3.3285921463632295,2.8405287817938385,-2.6243864346274015,1.5060240963855387,0.0,0.5034024988844088,-0.1980142793395978,True,3.0,False,,False,,ROC5_FAIL
BULL_2013_2014,ADM,legacy,ROC5_FAIL,2013-06-05,2013-06-06,29.336,GREEN,147.28,146.5602,135.6079,-2.392471336735358,False,2013-05-31,28.608,2.5447427293064706,False,,7.482274338696482,-1.499863648759192,7.482274338696482,-1.499863648759192,2.0759476411235323,-0.3101990728115567,3.061085355876747,6.6334878647395845,True,4.0,True,8.0,True,17.0,ROC5_FAIL
BULL_2013_2014,BCR,legacy,ROC5_FAIL,2013-06-05,2013-06-06,101.81,GREEN,147.28,146.5602,135.6079,-2.392471336735358,False,2013-05-31,100.26,1.5459804508278552,False,,7.916707592574412,-1.0018662213927887,7.916707592574412,-1.0018662213927887,4.970042235536787,4.685197917689821,4.253020331990953,4.12533149985268,True,5.0,True,5.0,True,5.0,ROC5_FAIL
BULL_2013_2014,T,legacy,ROC5_FAIL,2013-06-05,2013-06-06,27.906,GREEN,147.28,146.5602,135.6079,-2.392471336735358,False,2013-05-28,27.409,1.8132730125141272,True,10.0,3.354117394108802,-3.16061062137174,3.354117394108802,-2.5263384218447538,3.0961083637927267,-2.429585035476234,1.2040421414749591,1.766645165914138,True,1.0,True,5.0,False,,ROC5_FAIL
BULL_2013_2014,GWW,legacy,ROC5_FAIL,2013-06-25,2013-06-26,234.39,GREEN,145.61,148.0578,137.10535,-3.817953629698112,False,2013-06-21,225.58,3.9054880751839605,False,,3.9762788514868586,-2.3763812449336563,3.9762788514868586,-2.3763812449336563,-0.7380860958231983,2.8414181492384616,2.3763812449336674,-0.635692649003794,True,8.0,True,10.0,False,,ROC5_FAIL
BULL_2013_2014,WMT,legacy,ROC5_FAIL,2013-06-25,2013-06-26,66.653,GREEN,145.61,148.0578,137.10535,-3.817953629698112,False,2013-06-20,65.116,2.3604029731556064,False,,5.4536179916882865,-0.7111457848859026,5.4536179916882865,-0.7111457848859026,0.18753844538130782,4.032826729479533,3.642746763086424,4.542931300916675,True,7.0,True,8.0,True,18.0,ROC5_FAIL
BULL_2013_2014,CVX,legacy,ROC5_FAIL,2013-06-26,2013-06-27,100.06,GREEN,147.02,148.12300000000002,137.195,-1.5139335476956006,False,2013-06-21,97.96,2.1437321355655348,False,,7.8852688386967795,-0.4097541475114874,7.8852688386967795,-0.4097541475114874,1.6889866080351812,4.687187687387562,7.085748550869475,7.645412752348579,True,6.0,True,6.0,True,8.0,ROC5_FAIL
BULL_2013_2014,EMR,legacy,ROC5_FAIL,2013-06-26,2013-06-27,48.637,GREEN,147.02,148.12300000000002,137.195,-1.5139335476956006,False,2013-06-21,46.586,4.402610226248238,False,,9.287168205275819,-2.370623188107812,9.287168205275819,-2.370623188107812,1.1801714743919112,2.596788453235188,5.43002241092172,7.22289614902234,True,6.0,True,7.0,True,15.0,ROC5_FAIL
BULL_2013_2014,LOW,legacy,ROC5_FAIL,2013-06-26,2013-06-27,37.768,GREEN,147.02,148.12300000000002,137.195,-1.5139335476956006,False,2013-06-21,36.028,4.829576995670037,False,,11.623596695615346,-0.14827367083244392,11.623596695615346,-0.14827367083244392,4.98305443761915,7.561957212454984,8.644884558356281,8.345689472569372,True,3.0,True,3.0,True,3.0,ROC5_FAIL
BULL_2013_2014,TROW,legacy,ROC5_FAIL,2013-06-26,2013-06-27,64.181,GREEN,147.02,148.12300000000002,137.195,-1.5139335476956006,False,2013-06-24,61.145,4.965246545097712,False,,9.124195634221977,-1.4848631214845476,9.124195634221977,-1.4848631214845476,2.4742525046353325,5.30375033109487,7.6564715414219275,3.6724264190336697,True,5.0,True,6.0,True,9.0,ROC5_FAIL
