window_family,n,pass_n,fail_n,pass_share_pct,delta_stop_pp,delta_hit3_pp,delta_hit5_pp,delta_mfe_pp,delta_mae_pp,delta_ret5_pp,delta_ret10_pp,delta_ret15_pp,delta_ret20_pp
BULL,1453,874,579,60.15141087405368,-3.682866774957219,3.853404631199531,4.244871019630629,0.2881095836003338,-0.0935159267920942,-0.1094002037374705,0.10856850662894768,0.23951795841958146,0.20892971764937185
CORRECTION_BEAR,537,309,228,57.54189944134078,5.684721512519161,-5.820984500085167,-12.433997615397711,-0.9951322025291991,-0.2423814329735139,-0.6663699201230993,-1.106271147919103,-0.7558358119464521,-0.7613188907079473
CRISIS,289,168,121,58.13148788927336,-13.769185360094454,-1.0035419126328264,5.204643841007474,0.5319817175781738,1.2664496549235986,0.05474845219794999,2.4730646802059253,3.539140444467492,2.7439383894354856
