signal_type,future_group,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
V0.1,NOT_REMOVED_2007_2010,79,28,36.708860759493675,70.88607594936708,62.0253164556962,46.835443037974684,5.644858224121257,-3.35631954936311,0.2007045784956293,0.6535175885624117,1.6615342809864526,2.4050780238146925,3.4746101559376186
V0.1,REMOVED_2007_2010,33,17,30.303030303030305,87.87878787878788,81.81818181818183,57.57575757575758,9.025243581359645,-4.645440698805308,0.7452097901354227,2.4267959136753325,2.636614493739556,2.7339740671948305,5.335978977851674
STOCH_ONLY_CONTROL,NOT_REMOVED_2007_2010,115,29,38.26086956521739,75.65217391304347,69.56521739130434,47.82608695652174,5.777795443478251,-3.1429306349387587,0.49557874150109804,0.6441942350580289,1.725559152684697,2.1752838886877264,3.1950593609881395
STOCH_ONLY_CONTROL,REMOVED_2007_2010,45,17,42.22222222222222,82.22222222222221,77.77777777777779,57.77777777777777,9.059794572100264,-4.367109242715008,0.6501152449723834,2.3006136510161017,2.3266160987211797,1.7412578907255059,4.520279836761887
