signal_type,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
STOCH_ONLY_CONTROL,172,50,41.27906976744186,66.27906976744185,53.48837209302325,34.883720930232556,4.280462880970773,-2.1496830346994646,0.6742491533300167,1.0762873149569416,1.4767641092431267,1.8230827531340101,1.8148264046300655
V0.1,111,47,50.45045045045045,62.16216216216216,45.04504504504504,27.927927927927925,3.478865209427638,-2.201394388205844,0.25005439498207555,0.48550319468776776,0.8854775069653538,1.01626757802007,1.7872365637530363
