ticker,signal_type,signal_date,entry_date,entry_open,regime,spy_close,spy_ma50,spy_ma200,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct
CTAS,STOCH_ONLY_CONTROL,2022-01-12,2022-01-13,97.26969114882881,GREEN,443.191650390625,438.34759643554685,411.9108296203613,2022-01-05,93.42933049465448,4.110444368852728,True,3.0,0.3466341421913599,-8.621590433349446,0.3466341421913599,-4.747169098566828,-6.7015894953609045,-5.02987066349897,-6.136163835555697,-7.680017154348262,False,,False,,False,
CTAS,V0.1,2022-01-12,2022-01-13,97.26969114882881,GREEN,443.191650390625,438.34759643554685,411.9108296203613,2022-01-05,93.42933049465448,4.110444368852728,True,3.0,0.3466341421913599,-8.621590433349446,0.3466341421913599,-4.747169098566828,-6.7015894953609045,-5.02987066349897,-6.136163835555697,-7.680017154348262,False,,False,,False,
NUE,STOCH_ONLY_CONTROL,2022-01-12,2022-01-13,106.71646836468072,GREEN,443.191650390625,438.34759643554685,411.9108296203613,2022-01-11,100.55687679656218,6.125480190260957,True,2.0,8.21051782576674,-22.368415170348488,1.9035071657415026,-7.5614070187286835,-18.377175460982876,-12.464921095051517,-2.403517122141763,3.868421624413987,False,,False,,False,
ROP,STOCH_ONLY_CONTROL,2022-01-12,2022-01-13,452.3665083879732,GREEN,443.191650390625,438.34759643554685,411.9108296203613,2022-01-07,432.3209769584582,4.636724216007959,True,3.0,0.13740706988596418,-10.356810812219742,0.13740706988596418,-6.286219983891117,-5.977062912202424,-6.507355208739185,-3.8279711779627856,-6.00068138064217,False,,False,,False,
ROP,V0.1,2022-01-12,2022-01-13,452.3665083879732,GREEN,443.191650390625,438.34759643554685,411.9108296203613,2022-01-07,432.3209769584582,4.636724216007959,True,3.0,0.13740706988596418,-10.356810812219742,0.13740706988596418,-6.286219983891117,-5.977062912202424,-6.507355208739185,-3.8279711779627856,-6.00068138064217,False,,False,,False,
SPGI,STOCH_ONLY_CONTROL,2022-01-12,2022-01-13,407.71204418554794,GREEN,443.191650390625,438.34759643554685,411.9108296203613,2022-01-05,389.9498470672462,4.554995277441076,True,2.0,0.5001889340131127,-13.584284757848298,0.5001889340131127,-6.071502636233095,-6.899929592816434,-9.202145999734013,-7.4671041459898895,-13.268820630047207,False,,False,,False,
SPGI,V0.1,2022-01-12,2022-01-13,407.71204418554794,GREEN,443.191650390625,438.34759643554685,411.9108296203613,2022-01-05,389.9498470672462,4.554995277441076,True,2.0,0.5001889340131127,-13.584284757848298,0.5001889340131127,-6.071502636233095,-6.899929592816434,-9.202145999734013,-7.4671041459898895,-13.268820630047207,False,,False,,False,
PG,STOCH_ONLY_CONTROL,2022-01-19,2022-01-20,142.4562194370952,GREEN,425.0601806640625,438.0079028320313,413.0589353942871,2022-01-18,138.08077296685383,3.168758673802974,False,,3.26631109336617,-4.221809094990747,3.26631109336617,-4.221809094990747,-0.6182704613820422,2.5106140948884414,-1.8423478803623383,-0.18733694090238284,True,0.0,True,1.0,False,
CB,STOCH_ONLY_CONTROL,2022-01-24,2022-01-25,183.18500011345614,GREEN,413.85382080078125,436.6819799804687,413.5771028137207,2022-01-21,177.07544771481224,3.450253819763649,False,,9.002033064579296,-2.552880553026471,9.002033064579296,-2.552880553026471,2.872017818225636,7.004989339927548,4.8175477825652235,3.6646652006527614,True,2.0,True,5.0,True,6.0
ED,STOCH_ONLY_CONTROL,2022-01-24,2022-01-25,69.67709399811079,GREEN,413.85382080078125,436.6819799804687,413.5771028137207,2022-01-20,68.623467214094,1.5353738695971675,False,,7.782156021495701,-0.6884575697809536,7.782156021495701,-0.6884575697809536,5.790511078452054,6.2454031358258,0.9855549525873641,4.758857413382711,True,2.0,True,3.0,True,4.0
