window,signal_type,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
BEAR_2022,V0.1,38,35,68.42105263157895,55.26315789473685,44.73684210526316,31.57894736842105,4.574606224078165,-5.415425248795517,-1.1728546235253445,-1.6889818830972034,-3.4171670595477717,-2.637048150979522,4.277770583819985
BEAR_2022,V0.2B_NO_MACD,58,41,53.44827586206896,67.24137931034483,53.44827586206896,41.37931034482759,5.28093779713736,-4.9347770784445215,-0.4844354394390263,-0.8893206742771229,-1.004419461670173,-0.9402697581433516,4.494408888546175
BULL_2013_2014,V0.1,314,52,37.898089171974526,71.97452229299363,61.46496815286624,44.5859872611465,5.011309236275528,-2.10240354914352,1.0273895089728622,1.7820594590832048,2.6005475226301096,2.9913156526259,2.4862053111378124
BULL_2013_2014,V0.2B_NO_MACD,447,52,41.163310961968676,66.66666666666666,57.494407158836694,39.14988814317674,4.6206356614953785,-2.242204852960878,0.8353944110560692,1.2518156251056751,2.028415828676414,2.6203881684894546,2.482304077374553
BULL_2017,V0.1,111,47,50.45045045045045,62.16216216216216,45.04504504504504,27.927927927927925,3.478863187870688,-2.2013976954506163,0.2500546381625006,0.4854992420689466,0.8854751467504496,1.0162676070083831,1.7873142511348306
BULL_2017,V0.2B_NO_MACD,172,50,41.27906976744186,66.27906976744185,53.48837209302325,34.883720930232556,4.28046032076209,-2.1496836969047326,0.6742489831484392,1.076284059448802,1.4767625966823121,1.8230826778529268,1.8148134884427902
CHOP_2015_2016,V0.1,201,51,58.2089552238806,53.73134328358209,41.29353233830846,17.91044776119403,2.9676570765331047,-3.05488799901059,-0.09669330327324112,-0.23445098171032777,-0.2109907588325115,-0.4449309778671077,2.3120109632642327
CHOP_2015_2016,V0.2B_NO_MACD,312,51,53.52564102564102,56.08974358974359,42.628205128205124,21.794871794871796,3.283662498478226,-2.9312186220429637,0.05743176390144321,0.18198084967101683,0.22090487281305188,0.18683965940098934,2.3737565274073225
COVID_2020,V0.1,96,53,57.291666666666664,71.875,62.5,43.75,7.293496304196016,-5.417912892617575,-1.234845917624985,-1.6578891844077963,-1.0585762751943386,-2.151101449343835,4.243297704815818
COVID_2020,V0.2B_NO_MACD,129,58,72.09302325581395,72.86821705426357,55.81395348837209,31.007751937984494,4.996385378538816,-6.590333224858689,-2.406729600120276,-5.219237465509273,-6.303333941414179,-6.184946379890473,4.066185906770525
GFC_2007_2009,V0.1,112,45,34.82142857142857,75.89285714285714,67.85714285714286,50.0,6.6408646240218525,-3.736149888038043,0.36113914978235423,1.1760013807831828,1.948834700815492,2.5019848937391975,3.837684933886354
GFC_2007_2009,V0.2B_NO_MACD,160,46,39.375,77.5,71.875,50.625,6.7008576984031905,-3.4872308683758293,0.5390421331023969,1.1100621957962369,1.8946064187574578,2.0532140767608515,3.5834870984151057
