ticker,loaded,first,last,rows
FHN,True,1990-03-26,2017-11-10,6961.0
BAC,True,1986-05-29,2017-11-10,7929.0
ED,True,1970-01-02,2017-11-10,12075.0
USB,True,1987-11-05,2017-11-10,7561.0
PFE,True,1982-01-04,2017-11-10,9042.0
BBT,True,1990-03-26,2017-11-10,6961.0
CMA,True,1990-03-26,2017-11-10,6963.0
RF,True,2001-05-14,2017-11-10,4147.0
FITB,True,1990-03-26,2017-11-10,6962.0
MO,True,1970-01-02,2017-11-10,12074.0
KEY,True,1987-11-05,2017-11-10,7563.0
CINF,True,1990-03-26,2017-11-10,6962.0
LEG,True,1987-11-05,2017-11-10,7563.0
GCI,True,2015-06-23,2017-11-10,604.0
LLY,True,1982-01-04,2017-11-10,9044.0
KMB,True,1984-12-17,2017-11-10,8295.0
SNV,True,1990-01-12,2017-11-10,7012.0
GE,True,1962-01-02,2017-11-10,14058.0
JNJ,True,1970-01-02,2017-11-10,12074.0
BUD,True,2009-07-01,2017-11-10,2107.0
PPG,True,1983-04-06,2017-11-10,8726.0
CLX,True,1983-03-21,2017-11-10,8736.0
MTB,True,1991-10-04,2017-11-10,6577.0
KO,True,1970-01-02,2017-11-10,12075.0
ROH,False,,,
ABT,True,1983-04-06,2017-11-10,8726.0
AVY,True,1984-09-07,2017-11-10,8365.0
VFC,True,1985-07-01,2017-11-10,8157.0
CBSS,False,,,
CB,True,1993-03-26,2017-11-10,6201.0
PEP,True,1977-01-03,2017-11-10,10307.0
PG,True,1970-01-02,2017-11-10,12075.0
SWK,True,1985-07-01,2017-11-10,8160.0
EMR,True,1982-01-04,2017-11-10,9044.0
MMM,True,1970-01-02,2017-11-10,12075.0
MCD,True,1970-01-02,2017-11-10,12075.0
SLM,True,1988-01-05,2017-11-10,7524.0
WWY,False,,,
ADP,True,1983-04-06,2017-11-10,8724.0
WMT,True,1972-03-20,2017-11-10,11443.0
SHW,True,1985-07-01,2017-11-10,8159.0
GWW,True,1984-12-17,2017-11-10,8295.0
SVU,True,1985-07-01,2017-11-10,8160.0
FDO,False,,,
DOV,True,1985-07-01,2017-11-10,8160.0
MHP,False,,,
ADM,True,1983-04-06,2017-11-10,8726.0
STT,True,1986-07-09,2017-11-10,7902.0
BDX,True,1983-04-06,2017-11-10,8725.0
JCI,True,1987-12-30,2017-11-10,7527.0
LOW,True,1985-07-01,2017-11-10,8158.0
SIAL,False,,,
STR,False,,,
TGT,True,1983-04-06,2017-11-10,8726.0
WAG,False,,,
NUE,True,1983-09-01,2017-11-10,8622.0
BCR,True,1983-04-06,2017-11-10,8724.0
CTL,True,1987-11-05,2017-11-10,7565.0
PGR,True,1986-07-09,2017-11-10,7901.0
