ticker,data_source,signal_type,signal_date,entry_date,entry_open,regime,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct,window
DOV,yfinance,STOCH_ONLY_CONTROL,2017-01-03,2017-01-04,53.23139619526158,GREEN,2016-12-30,51.78615300584521,2.7907907916103536,False,,7.453350919343293,-1.30530717141647,7.453350919343293,-1.30530717141647,3.3285666154942106,2.1407026206517132,4.855781420625016,1.553320579741091,True,2.0,True,2.0,True,7.0,BULL_2017
CINF,yfinance,STOCH_ONLY_CONTROL,2017-01-04,2017-01-05,59.10209825385415,GREEN,2016-12-30,58.340311007922644,1.3057648009933587,True,2.0,0.7497036748334462,-8.917551763001297,0.7497036748334462,-2.0255366082832515,-8.049444783511117,-7.57595503445515,-7.115600028775315,-6.050246479794552,False,,False,,False,,BULL_2017
CINF,yfinance,V0.1,2017-01-04,2017-01-05,59.10209825385415,GREEN,2016-12-30,58.340311007922644,1.3057648009933587,True,2.0,0.7497036748334462,-8.917551763001297,0.7497036748334462,-2.0255366082832515,-8.049444783511117,-7.57595503445515,-7.115600028775315,-6.050246479794552,False,,False,,False,,BULL_2017
GWW,yfinance,STOCH_ONLY_CONTROL,2017-01-04,2017-01-05,204.8678506223735,GREEN,2016-12-30,200.7904529618741,2.0306730725258237,True,2.0,11.247093474911086,-3.006562230178278,0.5377955982576177,-3.006562230178278,0.016948491116064446,4.370109869204986,8.570860510500712,6.54247865033486,False,,False,,False,,BULL_2017
GWW,yfinance,V0.1,2017-01-04,2017-01-05,204.8678506223735,GREEN,2016-12-30,200.7904529618741,2.0306730725258237,True,2.0,11.247093474911086,-3.006562230178278,0.5377955982576177,-3.006562230178278,0.016948491116064446,4.370109869204986,8.570860510500712,6.54247865033486,False,,False,,False,,BULL_2017
SWK,yfinance,V0.1,2017-01-04,2017-01-05,92.61185614890098,GREEN,2016-12-15,88.10886727339087,5.110710209833824,False,,7.210054570765645,-2.8973443928290266,7.210054570765645,-2.8973443928290266,-1.1239658843143707,-0.09988786340811018,4.096252694425506,2.839079552399282,True,12.0,True,13.0,True,14.0,BULL_2017
TROW,yfinance,STOCH_ONLY_CONTROL,2017-01-04,2017-01-05,53.780970010518,GREEN,2016-12-30,52.423682931068385,2.589072349675048,True,2.0,0.0,-15.012375250271381,0.0,-5.567838685820048,-4.345006533819706,-4.123824757420502,-9.730711504246104,-11.916228334175038,False,,False,,False,,BULL_2017
TROW,yfinance,V0.1,2017-01-04,2017-01-05,53.780970010518,GREEN,2016-12-30,52.423682931068385,2.589072349675048,True,2.0,0.0,-15.012375250271381,0.0,-5.567838685820048,-4.345006533819706,-4.123824757420502,-9.730711504246104,-11.916228334175038,False,,False,,False,,BULL_2017
ITW,yfinance,STOCH_ONLY_CONTROL,2017-01-05,2017-01-06,97.33572634705364,GREEN,2016-12-29,96.36964649456985,1.0024731724404878,False,,6.767298868804472,-1.5174919041246127,6.767298868804472,-1.5174919041246127,1.2140368238973798,1.7554309547523017,5.643528258275854,4.413083488957215,True,9.0,True,11.0,True,12.0,BULL_2017
TGT,yfinance,STOCH_ONLY_CONTROL,2017-01-05,2017-01-06,53.767081951061144,GREEN,2016-12-23,52.92300266838871,1.5949194870165773,True,5.0,0.347318683440867,-12.559068135837625,0.347318683440867,-2.709106645884707,-2.4868176340626325,-11.294819369743847,-10.919721405677475,-11.892184995734434,False,,False,,False,,BULL_2017
TGT,yfinance,V0.1,2017-01-05,2017-01-06,53.767081951061144,GREEN,2016-12-23,52.92300266838871,1.5949194870165773,True,5.0,0.347318683440867,-12.559068135837625,0.347318683440867,-2.709106645884707,-2.4868176340626325,-11.294819369743847,-10.919721405677475,-11.892184995734434,False,,False,,False,,BULL_2017
WBA,legacy_fallback,STOCH_ONLY_CONTROL,2017-01-05,2017-01-06,81.464,GREEN,2016-12-27,78.748,3.4489764819424007,False,,2.622017087302364,-3.5156633605028076,2.622017087302364,-3.5156633605028076,0.8911912010213019,-1.8413041343415482,-1.9260041245212633,-2.7447706962584806,True,3.0,False,,False,,BULL_2017
WBA,legacy_fallback,V0.1,2017-01-05,2017-01-06,81.464,GREEN,2016-12-27,78.748,3.4489764819424007,False,,2.622017087302364,-3.5156633605028076,2.622017087302364,-3.5156633605028076,0.8911912010213019,-1.8413041343415482,-1.9260041245212633,-2.7447706962584806,True,3.0,False,,False,,BULL_2017
WMT,yfinance,STOCH_ONLY_CONTROL,2017-01-05,2017-01-06,19.480426682657072,GREEN,2016-12-27,19.377913747278367,0.5290194636824674,True,4.0,1.286338350342131,-4.575340045943466,1.257128384511863,-0.7162925567903655,-1.871049859169971,-2.5726900881166026,-2.9089165636336567,-2.9381527970609667,False,,False,,False,,BULL_2017
WMT,yfinance,V0.1,2017-01-05,2017-01-06,19.480426682657072,GREEN,2016-12-27,19.377913747278367,0.5290194636824674,True,4.0,1.286338350342131,-4.575340045943466,1.257128384511863,-0.7162925567903655,-1.871049859169971,-2.5726900881166026,-2.9089165636336567,-2.9381527970609667,False,,False,,False,,BULL_2017
APD,yfinance,STOCH_ONLY_CONTROL,2017-01-06,2017-01-09,114.35350388872014,GREEN,2016-12-28,113.1964620683238,1.0221536956676047,True,13.0,3.575914501311006,-5.024278541710769,3.575914501311006,-5.024278541710769,0.7207007524159481,1.9612016248328867,-3.1462329503169517,-3.8114944342456214,True,0.0,True,11.0,False,,BULL_2017
T,yfinance,STOCH_ONLY_CONTROL,2017-01-12,2017-01-13,15.875743722975313,GREEN,2017-01-11,15.627438224232899,1.5889072487733635,False,,3.763394497174377,-1.0508510772098245,3.763394497174377,-1.0508510772098245,2.639275303321509,2.1993862243567808,0.34211816219260616,-0.6598447319872247,True,4.0,True,9.0,False,,BULL_2017
