window,variable,bucket,bucket_n,pass_n,fail_n,delta_stop_pp,delta_hit3_pp,delta_hit5_pp,delta_mfe_pp,delta_mae_pp,delta_ret20_pp
GFC_2007_2009,cluster_size,5-9,47,35,12,-35.714285714285715,-3.333333333333343,-6.666666666666657,0.11329614257787313,0.3852852343300759,3.787526321534215
ALL_WINDOWS_POOLED,cluster_share_pct,<=2,309,179,130,1.5341641598624918,4.1254834550924,-0.18048990116029273,-0.1743972747909499,0.006023520814202321,0.15671487135925222
ALL_WINDOWS_POOLED,cluster_share_pct,"(2,5]",255,147,108,9.674981103552533,-7.747543461829174,-3.9493575207860943,-0.33023443852925904,-0.3122684138546328,-0.5328372259949614
ALL_WINDOWS_POOLED,cluster_share_pct,"(5,10]",425,262,163,-1.4915936870697308,0.8780967545543987,-3.6177586287641077,-0.4031256737464277,-0.4736275056620225,-0.9906865225151615
ALL_WINDOWS_POOLED,cluster_share_pct,>10,289,142,147,1.6048672990322856,-8.407588387467662,-4.948740059404038,-0.25158437260107913,0.8391777646229337,1.3381465542740905
BEAR_2022,cluster_share_pct,<=2,11,8,3,75.0,-50.0,-41.66666666666666,-5.004944620198335,-0.4363437668186205,-5.992246923688009
BEAR_2022,cluster_share_pct,"(2,5]",6,2,4,0.0,0.0,0.0,-0.27437616064422343,2.398822324130082,-0.14984449435823066
BEAR_2022,cluster_share_pct,"(5,10]",22,18,4,-33.33333333333334,2.7777777777777786,2.7777777777777786,-1.7923737254255991,-0.2412989386581561,0.08536830430384157
BEAR_2022,cluster_share_pct,>10,19,5,14,17.142857142857146,-4.285714285714292,-57.14285714285714,-4.281533795746076,-1.0486660713551337,-1.7697184195071527
BULL_2013_2014,cluster_share_pct,<=2,91,44,47,-16.537717601547392,20.79303675048356,20.06769825918762,1.1780503778557643,0.0031531917121672137,1.2373058218035458
BULL_2013_2014,cluster_share_pct,"(2,5]",62,34,28,-0.6302521008403303,-6.5126050420168085,9.033613445378144,0.5725236871522017,0.24265944655314842,0.10509748468562141
BULL_2013_2014,cluster_share_pct,"(5,10]",175,106,69,-11.908668307355754,14.738856986601029,5.715066994804481,0.6356615990135142,0.01736857066417885,0.38495104947023684
BULL_2013_2014,cluster_share_pct,>10,119,64,55,5.0284090909090935,-2.1875,4.261363636363633,0.40215881882844506,0.13182341751607396,0.4377193913329971
BULL_2017,cluster_share_pct,<=2,61,38,23,12.585812356979403,-11.784897025171624,-11.098398169336384,-1.0205056155779824,0.40631337019728275,0.0747799075126141
BULL_2017,cluster_share_pct,"(2,5]",56,29,27,18.64623243933589,-11.494252873563212,-6.513409961685824,-1.5019132458894013,-0.7004530977836081,-0.5050751794648907
BULL_2017,cluster_share_pct,"(5,10]",55,34,21,36.83473389355743,-33.19327731092437,-33.613445378151255,-2.6545000199035402,-0.34511075452738016,-4.3362554734817245
CHOP_2015_2016,cluster_share_pct,<=2,77,47,30,10.49645390070922,4.964539007092206,-6.028368794326239,-0.34042301607170566,-0.4176790477948753,-0.2626550543016455
CHOP_2015_2016,cluster_share_pct,"(2,5]",62,39,23,17.05685618729097,-5.016722408026752,-5.574136008918618,-0.2401892782914965,-0.9993588557986639,-1.141487068951192
CHOP_2015_2016,cluster_share_pct,"(5,10]",102,62,40,-4.838709677419359,6.612903225806448,-8.145161290322584,-1.1019952358087788,-0.27681227530779884,-0.6282222964183195
CHOP_2015_2016,cluster_share_pct,>10,71,32,39,37.980769230769226,-37.09935897435898,-36.77884615384615,-2.7928872852330473,-0.24205470689362407,-2.8889556782362646
COVID_2020,cluster_share_pct,<=2,22,14,8,-5.357142857142861,26.785714285714292,-1.7857142857142847,1.7141814251395031,1.1413858758681377,2.523428757373951
COVID_2020,cluster_share_pct,"(2,5]",41,30,11,-15.15151515151517,32.727272727272734,9.393939393939394,2.678154145737245,0.8186818384396095,3.7658714100182236
COVID_2020,cluster_share_pct,"(5,10]",13,2,11,45.45454545454546,-13.636363636363633,-27.27272727272727,-3.162873481795306,-0.25018314915445705,-11.23534545307121
COVID_2020,cluster_share_pct,>10,53,23,30,-20.434782608695656,4.2028985507246475,19.130434782608695,1.1696515110209882,2.789221054647159,3.6146348409514406
GFC_2007_2009,cluster_share_pct,<=2,47,28,19,-4.323308270676698,-11.278195488721806,-1.127819548872175,-1.091909128322988,0.3366874632427992,0.7777136999882697
GFC_2007_2009,cluster_share_pct,"(2,5]",28,13,15,-7.179487179487182,-33.84615384615385,-15.897435897435894,-2.0471021220011103,0.11261343427439652,0.20747163936732232
GFC_2007_2009,cluster_share_pct,"(5,10]",58,40,18,5.277777777777782,-13.888888888888886,-6.666666666666657,-0.5852223967443475,-1.5236996486040577,-0.892823057470173
GFC_2007_2009,cluster_share_pct,>10,27,18,9,-38.88888888888889,-11.1111111111111,-5.555555555555543,0.006933136243935323,0.48437629527012227,4.327557185225429
