window,delta_stop_low95,delta_stop_high95,delta_hit3_low95,delta_hit3_high95,delta_hit5_low95,delta_hit5_high95,delta_ret20_low95,delta_ret20_high95
BEAR_2022,-3.297619047619043,48.68764398369659,-51.028490028490026,-5.237577639751551,-55.24047619047618,-5.680868593771827,-8.681076854920372,2.5131019468922844
BULL_2013_2014,-17.71936133831533,2.558156028368792,-0.8997358698470354,20.48424827826725,-0.1822066239831919,18.560981090294042,-0.4918047617382411,1.5690226105928196
BULL_2017,8.076435271845481,37.10977109784314,-34.285569459556875,-3.723590248450956,-30.38502004852079,-2.5087836570034825,-2.9676832564334457,-0.12717001217895377
CHOP_2015_2016,-0.31439596013482085,27.30724027144871,-19.3467052776791,7.5990099928853345,-25.00225313479624,-3.5233144947022246,-2.551738644957947,0.07436943330619822
COVID_2020,-30.6954742810872,9.043491036770822,-5.703916753094913,32.16812354312353,-6.588561975658748,28.846186440677965,-2.9401804625990065,7.815040622463573
GFC_2007_2009,-26.396570753070634,6.4676155798300545,-28.032128868136567,1.1736181299552935,-18.715846821300428,12.675991902426315,-1.45944461449741,4.135642455378845
ALL_WINDOWS_POOLED,-5.404014983060979,8.680380322805698,-8.462445834442997,4.178625151879248,-8.686412024262598,2.436587985565834,-0.9665481600691639,1.3432078644616434
