ticker,data_source,signal_type,signal_date,entry_date,entry_open,regime,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct,window
ABT,legacy,STOCH_ONLY_CONTROL,2013-01-28,2013-01-29,29.738,GREEN,2013-01-25,29.495,0.823868452280041,False,,7.034770327527062,-0.03026430829242699,7.034770327527062,-0.03026430829242699,2.636357522361954,4.035241105656051,4.701055888089312,3.9108211715650043,True,2.0,True,3.0,True,8.0,BULL_2013_2014
MKC,legacy,STOCH_ONLY_CONTROL,2013-01-31,2013-02-01,57.336,GREEN,2013-01-28,55.377,3.53756974917383,False,,9.981512487791267,-0.6871773405888071,9.981512487791267,-0.6871773405888071,1.0447188502860305,2.72603599832566,3.8823775638342495,9.916980605553238,True,8.0,True,9.0,True,14.0,BULL_2013_2014
MKC,legacy,V0.1,2013-01-31,2013-02-01,57.336,GREEN,2013-01-28,55.377,3.53756974917383,False,,9.981512487791267,-0.6871773405888071,9.981512487791267,-0.6871773405888071,1.0447188502860305,2.72603599832566,3.8823775638342495,9.916980605553238,True,8.0,True,9.0,True,14.0,BULL_2013_2014
PPG,legacy,STOCH_ONLY_CONTROL,2013-02-05,2013-02-06,64.106,GREEN,2013-02-04,63.672,0.6816182937555038,True,4.0,1.547437057373724,-6.651483480485442,1.2791314385549146,-1.8095030106386245,0.8501544317224718,-5.284996724175572,-1.945215736436512,-1.3649268399213654,False,,False,,False,,BULL_2013_2014
APD,legacy,STOCH_ONLY_CONTROL,2013-02-07,2013-02-08,77.232,GREEN,2013-02-06,76.547,0.8948750440905595,True,8.0,1.9214833229749262,-3.883105448518742,1.8062461155997411,-2.910710586285481,0.7781748498031815,-3.7898798425523017,-1.3828464885021763,1.4631240936399337,False,,False,,False,,BULL_2013_2014
ITW,legacy,STOCH_ONLY_CONTROL,2013-02-11,2013-02-12,56.753,GREEN,2013-02-04,55.622,2.0333680917622443,True,7.0,2.835092418021956,-5.0235229855690395,2.835092418021956,-2.4791640970521445,0.39821683435237176,-2.2606734445756227,-0.4123130054798918,-2.463305904533686,True,3.0,False,,False,,BULL_2013_2014
ITW,legacy,V0.1,2013-02-11,2013-02-12,56.753,GREEN,2013-02-04,55.622,2.0333680917622443,True,7.0,2.835092418021956,-5.0235229855690395,2.835092418021956,-2.4791640970521445,0.39821683435237176,-2.2606734445756227,-0.4123130054798918,-2.463305904533686,True,3.0,False,,False,,BULL_2013_2014
PPG,legacy,V0.1,2013-02-11,2013-02-12,64.318,GREEN,2013-02-06,63.216,1.7432295621361726,True,4.0,2.8141422307907726,-6.959171616032833,1.2127242762523638,-2.1331509064336562,-4.560154233651548,-2.2684163064771834,-1.7055878603190466,2.706862775583807,False,,False,,False,,BULL_2013_2014
SWK,legacy,STOCH_ONLY_CONTROL,2013-02-12,2013-02-13,70.042,GREEN,2013-02-11,68.451,2.3242903682926697,True,7.0,5.378201650438297,-3.1980811513092067,2.498500899460332,-3.122412266925556,-1.9088546871876888,1.4662630992832826,1.3563290597070399,5.206875874475303,True,3.0,False,,False,,BULL_2013_2014
BF-B,legacy,STOCH_ONLY_CONTROL,2013-02-15,2013-02-19,30.976,GREEN,2013-02-13,30.323,2.153480856115819,False,,5.859375,0.0,5.859375,0.0,0.6714876033057982,4.3194731404958775,4.535769628099184,5.336389462809921,True,1.0,True,9.0,True,16.0,BULL_2013_2014
AFL,legacy,STOCH_ONLY_CONTROL,2013-02-20,2013-02-21,44.66,GREEN,2013-02-11,43.172,3.4466784026683905,False,,4.236453201970458,-2.648902821316612,4.236453201970458,-2.648902821316612,0.23958799820871235,3.490819525302302,1.6636811464397772,2.4697716077026532,True,8.0,True,9.0,False,,BULL_2013_2014
