window_set,metric,n_windows,favorable_windows,favorable_share_pct,equal_weight_mean,median,std_across_windows,min,max,sign_test_p_one_sided
ALL_WINDOWS,delta_stop_pp,10,6,60.0,-2.4706885476374345,-8.935504418770826,16.81492067773762,-20.66666666666667,23.636363636363633,0.376953125
ALL_WINDOWS,delta_hit3_pp,10,5,50.0,-1.2988009684674324,-0.09500182915675381,14.709953059798407,-25.575757575757578,16.09344581440623,0.623046875
ALL_WINDOWS,delta_hit5_pp,10,5,50.0,-2.685476049520407,-0.024464971648068712,15.198379328602279,-32.727272727272734,18.416666666666664,0.623046875
ALL_WINDOWS,delta_mfe_pp,10,5,50.0,-0.17092174981369687,-0.07114542629799558,1.5924806020981992,-3.2951719451322563,1.6569072183649038,0.623046875
ALL_WINDOWS,delta_mae_pp,10,5,50.0,0.11309314335469675,-0.04544959522405323,0.9649280412515909,-1.1842885884904577,2.513849834498634,0.623046875
ALL_WINDOWS,delta_ret20_pp,10,6,60.0,0.28229659312320166,0.7407041446195953,1.862611705877622,-3.2236553000902974,3.1190454525707256,0.376953125
DISCOVERY_WINDOWS,delta_stop_pp,6,3,50.0,5.069103757082958,3.333497071542137,16.73123118122664,-11.666666666666671,23.636363636363633,0.65625
DISCOVERY_WINDOWS,delta_hit3_pp,6,2,33.333333333333336,-7.398575306794506,-9.936661698956787,15.022368589724715,-25.575757575757578,10.869565217391312,0.890625
DISCOVERY_WINDOWS,delta_hit5_pp,6,2,33.333333333333336,-7.930045592381223,-8.855770822983938,16.897743760772606,-32.727272727272734,11.231884057971016,0.890625
DISCOVERY_WINDOWS,delta_mfe_pp,6,2,33.333333333333336,-0.7839280910910625,-0.8211545556290007,1.692365137653731,-3.2951719451322563,1.3653259852765158,0.890625
DISCOVERY_WINDOWS,delta_mae_pp,6,2,33.333333333333336,0.08598981342000485,-0.2386379046068845,1.2658754188461159,-1.1842885884904577,2.513849834498634,0.890625
DISCOVERY_WINDOWS,delta_ret20_pp,6,3,50.0,-0.20826309962162226,-0.3555296092013839,2.2581193385252463,-3.2236553000902974,3.1190454525707256,0.65625
VALIDATION_WINDOWS,delta_stop_pp,4,3,75.0,-13.780377004718023,-17.600797299479332,9.870435863635212,-20.66666666666667,0.7467532467532436,0.3125
VALIDATION_WINDOWS,delta_hit3_pp,4,3,75.0,7.850860539023179,8.718309859154928,9.326985513155032,-2.126623376623371,16.09344581440623,0.3125
VALIDATION_WINDOWS,delta_hit5_pp,4,3,75.0,5.181378264770817,1.5725569990252026,8.919365477666522,-0.8362676056338003,18.416666666666664,0.3125
VALIDATION_WINDOWS,delta_mfe_pp,4,3,75.0,0.7485877621023517,0.8471471507869226,0.9775479187076197,-0.35685047152934235,1.6569072183649038,0.3125
VALIDATION_WINDOWS,delta_mae_pp,4,3,75.0,0.1537481382567346,0.24707268418252304,0.3447479202476845,-0.33864121040200246,0.45948839506389483,0.3125
VALIDATION_WINDOWS,delta_ret20_pp,4,3,75.0,1.0181361322404376,1.0362993449668871,0.8403678528981984,-0.02631098479131322,2.0262568238192893,0.3125
