window,pass_n,fail_n,pass_share_pct,delta_stop_pp,delta_hit3_pp,delta_hit5_pp,delta_mfe_pp,delta_mae_pp,delta_ret20_pp
ALL_WINDOWS_POOLED,571,301,65.48165137614679,10.763886868639851,-12.002606606117382,-9.932449337002751,-1.2154331835931904,0.30672160693624306,-0.6008889809115838
BEAR_2022,26,12,68.42105263157895,-9.615384615384613,4.487179487179482,-2.5641025641025585,0.7094335664229439,-1.6303072969903232,-2.5157880993456443
BULL_2013_2014,194,120,61.78343949044586,19.527491408934708,-19.209621993127143,-14.15807560137457,-1.0499884655244243,-0.6847635697716254,-1.7444235652090057
BULL_2017,77,34,69.36936936936937,9.129106187929715,5.576776165011459,-2.139037433155085,-0.7402089432716585,0.058510560585132154,-1.1596182984751278
CHOP_2015_2016,139,62,69.1542288557214,7.205848224646097,-14.922255743792057,-11.417962404270131,-1.0597096787553624,0.15212286548814058,-0.07630150264677193
COVID_2020,66,30,68.75,-13.636363636363626,13.333333333333321,24.848484848484848,0.8958105376029915,5.147533535108257,7.646949257685963
GFC_2007_2009,69,43,61.607142857142854,7.448601280754978,-18.20020222446915,-20.761712167172227,-3.8135366061823586,0.9420626914873327,-1.5611558929906284
