ticker,data_source,signal_type,signal_date,entry_date,entry_open,regime,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct,window
MMM,legacy,MACD_PASS,2013-05-01,2013-05-02,94.041,GREEN,2013-04-29,92.115,2.090864680019533,False,,7.591369721717145,-0.12973064939760803,7.591369721717145,-0.12973064939760803,4.625642007209629,5.726225795131912,5.704958475558541,5.56778426431026,True,1.0,True,1.0,True,5.0,BULL_2013_2014
MMM,legacy,MACD_FAIL,2013-06-07,2013-06-10,100.31,GREEN,2013-06-06,96.898,3.5212285083283446,True,10.0,1.8941282025720207,-3.828132788356098,1.644900807496752,-3.828132788356098,0.4386402153324642,-3.507127903499152,-1.9031003887947429,1.7246535739208424,False,,False,,False,,BULL_2013_2014
MMM,legacy,MACD_PASS,2013-08-26,2013-08-27,102.66,GREEN,2013-08-19,102.61,0.048728194133129676,True,0.0,7.831677381648161,-0.9156438729787664,0.3701539060978032,-0.6526397818040097,1.022793687901813,4.665887395285417,6.974478862263789,5.990648743424898,False,,False,,False,,BULL_2013_2014
MMM,legacy,MACD_FAIL,2013-10-10,2013-10-11,107.88,GREEN,2013-10-08,105.6,2.1590909090908994,False,,7.406377456433089,-0.6581386725991734,7.406377456433089,-0.6581386725991734,3.086763070077869,4.412309974045248,5.672969966629582,7.378568780126082,True,1.0,True,4.0,True,11.0,BULL_2013_2014
MMM,legacy,MACD_FAIL,2013-12-06,2013-12-09,117.17,GREEN,2013-12-04,114.15,2.6456416995181753,False,,9.01254587351712,-2.193394213535893,9.01254587351712,-2.193394213535893,-0.8875992148160816,6.221729111547325,8.884526755995559,6.093709994025764,True,6.0,True,7.0,True,7.0,BULL_2013_2014
MMM,legacy,MACD_FAIL,2014-01-14,2014-01-15,125.34,GREEN,2014-01-13,122.4,2.401960784313717,True,6.0,0.8377213977979858,-10.27604914632201,0.8377213977979858,-5.473113132280194,-2.2339237274613066,-7.052816339556411,-6.45444391255785,-4.930588798468172,False,,False,,False,,BULL_2013_2014
MMM,legacy,MACD_PASS,2014-03-18,2014-03-19,121.57,GREEN,2014-03-14,118.76,2.366116537554719,False,,3.7591511063584937,-1.645142716130621,3.7591511063584937,-1.645142716130621,0.2549971210002555,2.434811219873323,2.327876943324836,3.018836884099696,True,8.0,True,11.0,False,,BULL_2013_2014
MMM,legacy,MACD_PASS,2014-08-11,2014-08-12,129.55,GREEN,2014-07-31,127.54,1.5759761643405978,False,,4.05248938633731,-0.13894249324585273,4.05248938633731,-0.13894249324585273,2.5781551524507673,3.450405248938626,2.8869162485526623,3.473562331146285,True,4.0,True,5.0,False,,BULL_2013_2014
MMM,legacy,MACD_FAIL,2014-10-08,2014-10-09,130.81,GREEN,2014-09-29,127.58,2.531744787584267,True,1.0,11.008332696277057,-7.468847947404633,0.2522742909563336,-5.183089977830447,-4.311596972708509,2.775017200519825,7.7669902912621325,10.580230869199614,False,,False,,False,,BULL_2013_2014
MMM,legacy,MACD_FAIL,2014-12-16,2014-12-17,148.43,GREEN,2014-12-12,144.96,2.3937637969094983,False,,5.55817557097622,-0.9836286465000343,5.55817557097622,-0.9836286465000343,4.810348312335777,2.991309034561751,1.4754429697500404,1.6977699925890821,True,1.0,True,1.0,True,3.0,BULL_2013_2014
