regime,n,pass_n,fail_n,pass_share_pct,delta_stop_pp,delta_hit3_pp,delta_hit5_pp,delta_mfe_pp,delta_mae_pp,delta_ret5_pp,delta_ret10_pp,delta_ret15_pp,delta_ret20_pp
GREEN,2129,1279,850,60.07515265382809,-3.718254150761169,1.0861426666053404,1.0273651290070376,0.03698686668486939,0.07137566303549248,-0.12101383658020223,0.1450826815242668,0.44801138749456004,0.2628370205877254
YELLOW,150,72,78,48.0,6.196581196581199,3.8461538461538396,-0.10683760683760823,0.6029121995733204,-0.7423412931541771,-1.5495093746868807,-0.4335543362894352,0.09181269613052395,0.8418000042799737
