group,clusters,bootstrap_reps,delta_stop_pp_low95,delta_stop_pp_high95,delta_hit3_pp_low95,delta_hit3_pp_high95,delta_hit5_pp_low95,delta_hit5_pp_high95,delta_mfe_pp_low95,delta_mfe_pp_high95,delta_mae_pp_low95,delta_mae_pp_high95,delta_ret20_pp_low95,delta_ret20_pp_high95
ALL_2279,1035,3000,-7.825492368767749,2.032874481156195,-3.6210068806195617,5.751256694649915,-3.6388588396577584,4.692766194309512,-0.3863849804283115,0.4280174626536651,-0.2896441722893666,0.5812815189335394,-0.37507153287746553,1.1729584825310895
DISCOVERY,583,3000,-5.291940256268774,8.80266163463646,-8.148605208032889,3.971665573857975,-8.841393702451551,2.595814900002927,-0.865895019083628,0.21391439676703716,-0.47249062522903046,0.914711951326311,-0.9014911857039293,1.3060334752518339
VALIDATION,452,3000,-16.24225533337656,-2.767060623408401,-1.6768940482678427,11.836038821434093,-0.9644617320522794,11.660002574879684,-0.145537654685173,1.0799127596715448,-0.30568646319518605,0.3096181822397538,-0.30087148420503546,1.6003325064586316
