ticker,signal_type,signal_date,entry_date,entry_open,regime,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct,future_group
SNV,V0.1,2009-10-30,2009-11-02,14.383,GREEN,2009-10-27,11.681,23.131581200239705,True,7.0,3.9212959744142406,-36.6884516443023,3.9212959744142406,-22.28325106027949,-2.203990822498769,-15.29583536119029,-29.694778558019877,-17.916985329903355,True,0.0,True,0.0,False,,REMOVED_2007_2010
SVU,V0.1,2009-12-04,2009-12-07,94.129,GREEN,2009-11-16,89.124,5.615771284951321,True,1.0,1.3088421209191736,-14.42700974194987,1.3088421209191736,-9.593217818100698,-8.693388859968776,-12.62735182568604,-12.835576708559538,-11.177214248531277,False,,False,,False,,NOT_REMOVED_2007_2010
FITB,V0.1,2009-09-29,2009-09-30,8.4439,GREEN,2009-09-25,7.9703,5.942059897368979,True,2.0,9.213751939269766,-12.315399282322147,1.8013003469960598,-9.41389642226932,1.5987872902331943,3.5990478333471465,1.2008668979973658,-11.51363706344224,False,,False,,False,,REMOVED_2007_2010
SVU,V0.1,2007-09-27,2007-09-28,254.32,GREEN,2007-09-21,242.96,4.675666776424103,True,1.0,0.9201006605850992,-10.549701163888017,0.4875747090280047,-9.220666876376216,-3.857345077068264,-9.346492607738275,-4.675212330921664,-0.971217363950927,False,,False,,False,,NOT_REMOVED_2007_2010
BBT,V0.1,2009-10-05,2009-10-06,22.552,GREEN,2009-10-01,21.031,7.232181066045373,True,16.0,5.689074139765871,-12.269421780773326,5.689074139765871,-8.917169208939335,2.4033345157857378,-2.434373891450869,-6.380808797445903,-8.287513302589566,True,4.0,True,6.0,True,6.0,REMOVED_2007_2010
VFC,V0.1,2007-08-06,2007-08-07,18.87,GREEN,2007-07-23,17.999,4.839157730985066,True,6.0,5.728669846316903,-11.547429782723906,5.728669846316903,-8.108108108108114,-3.529411764705881,-7.23900370959194,-11.494435612082675,-8.404875463699002,True,0.0,True,0.0,True,0.0,NOT_REMOVED_2007_2010
DOV,V0.1,2009-06-29,2009-06-30,24.071,GREEN,2009-06-22,22.8,5.574561403508782,True,4.0,9.633999418387273,-9.633999418387283,0.5649952224668686,-7.660670516389024,-8.437538947280965,-0.8433384570645241,4.918781936770378,-0.2451082215113698,False,,False,,False,,NOT_REMOVED_2007_2010
TGT,V0.1,2007-10-25,2007-10-26,52.018,GREEN,2007-10-18,49.551,4.9787088050695205,True,4.0,1.384136260525204,-20.223768695451582,1.384136260525204,-7.489715098619709,-5.807605059787003,-10.794340420623636,-14.456534276596567,-12.330347187512016,False,,False,,False,,NOT_REMOVED_2007_2010
FHN,V0.1,2009-10-09,2009-10-12,12.005,GREEN,2009-10-01,11.258,6.635281577544872,True,10.0,8.74635568513118,-12.927946688879643,8.74635568513118,-7.246980424823002,2.107455226988741,-6.29737609329446,-10.73719283631821,-3.706788837984176,True,2.0,True,2.0,True,4.0,REMOVED_2007_2010
EMR,V0.1,2009-06-25,2009-06-26,26.792,GREEN,2009-06-19,25.528,4.9514258853024185,True,6.0,12.720214989549117,-7.722454464019124,1.985667363392052,-6.901313825022393,-4.378172588832497,-3.557031949835787,6.292923260674832,12.1976709465512,False,,False,,False,,NOT_REMOVED_2007_2010
