window,n_pass,n_fail,pass_share_pct,delta_stop_pp_PASS_minus_FAIL,delta_hit3_pp_PASS_minus_FAIL,delta_hit5_pp_PASS_minus_FAIL,delta_MFE_pp_PASS_minus_FAIL,delta_MAE_pp_PASS_minus_FAIL,delta_ret20_pp_PASS_minus_FAIL
2015_2016,180,132,57.69230769230769,13.98989898989899,-6.212121212121211,-14.74747474747475,-1.202303451588159,-0.4529430434144599,-1.229712268134766
2022,33,25,56.89655172413793,23.636363636363633,-25.575757575757578,-32.727272727272734,-3.2951760747587233,-1.1842986937548075,-3.2236581283416315
COVID_2020,70,60,53.84615384615385,-12.61904761904762,11.42857142857143,10.714285714285715,1.3466341950001084,2.574826000741906,3.1638525553032792
GFC_2007_2009,99,61,61.875,-10.548103990726936,-13.661202185792362,-2.9640668984931295,-0.4400056596698425,-0.269780131625581,1.1541808635648123
ALL_WINDOWS_POOLED,382,278,57.878787878787875,2.5537685035217947,-5.427699725036732,-7.633055858977741,-0.6200757338210696,0.23750227147750103,0.3236300633747641
