window,ticker,data_source,signal_type,signal_date,entry_date,entry_open,regime,spy_close,spy_ma50,spy_ma200,macd_hist,macd_hist_1,macd_hist_2,macd_pass,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct,macd_group
BEAR_2022,NUE,yfinance,MACD_FAIL,2022-01-12,2022-01-13,106.71646836468072,GREEN,443.191650390625,438.34759643554685,411.9108235168457,-0.35554187311823804,-0.4358885356532334,-0.17233284432682705,False,2022-01-11,100.55686940257469,6.125487993710665,True,2.0,8.210525079058506,-22.368415170348488,1.9035071657415026,-7.56139289717761,-18.377189759421807,-12.464906796612585,-2.403509972922291,3.8684287736334477,False,,False,,False,,MACD_FAIL
BEAR_2022,PG,yfinance,MACD_FAIL,2022-01-19,2022-01-20,142.4562194370952,GREEN,425.0601501464844,438.0079052734375,413.05893020629884,-0.7177174452422954,-0.974287621720678,-0.8559356971105219,False,2022-01-18,138.0807881584662,3.168747323203003,False,,3.26631109336617,-4.221830055454845,3.26631109336617,-4.221830055454845,-0.6182704613820422,2.510635517314408,-1.8423585915753105,-0.18735836332833822,True,0.0,True,1.0,False,,MACD_FAIL
BEAR_2022,CB,yfinance,MACD_FAIL,2022-01-24,2022-01-25,183.1850307303101,GREEN,413.8538818359375,436.68198059082033,413.577098236084,-0.5822858749447095,-0.7538687536776705,-0.6156015116770843,False,2022-01-21,177.07540382885165,3.45029674892825,False,,9.00199793299954,-2.5528805530264598,9.00199793299954,-2.5528805530264598,2.8720089542991767,7.004979785231846,4.817530263756287,3.6646145556764598,True,2.0,True,5.0,True,6.0,MACD_FAIL
BEAR_2022,DOV,yfinance,MACD_FAIL,2022-01-25,2022-01-26,162.13745547061492,YELLOW,408.801025390625,436.16115478515627,413.7037190246582,-1.2598282515800223,-1.0686871496493409,-0.985191570184998,False,2022-01-21,156.8705930979354,3.3574567856649695,True,6.0,2.117001695839993,-11.757171478109797,2.117001695839993,-5.464531428315356,-0.7056503743162468,-2.262778992978143,-4.968804985996322,-9.39524080217412,True,1.0,False,,False,,MACD_FAIL
BEAR_2022,GPC,yfinance,MACD_FAIL,2022-01-25,2022-01-26,116.74273707984011,YELLOW,408.801025390625,436.16115478515627,413.7037190246582,-0.8351761585878208,-0.7953408708753232,-0.9691302578590445,False,2022-01-19,112.45922288540106,3.8089487767526853,True,11.0,2.0375821359811974,-13.060153520054929,2.0375821359811974,-4.81954633358389,1.684197818031663,-0.6766895653918747,-2.285712975101162,-9.12782021778147,True,5.0,False,,False,,MACD_FAIL
BEAR_2022,GWW,yfinance,MACD_FAIL,2022-01-25,2022-01-26,466.1045348784898,YELLOW,408.801025390625,436.16115478515627,413.7037190246582,-3.0399125189824376,-2.7725371212712506,-2.8943166012286814,False,2022-01-21,454.5218825829521,2.5483156563806952,True,11.0,7.641401781085433,-6.7405363379930305,7.641401781085433,-3.8309440536534622,2.66527367356324,0.2253512397914159,-2.396915386577214,-4.148342814363081,True,4.0,True,4.0,True,6.0,MACD_FAIL
BEAR_2022,ITW,yfinance,MACD_FAIL,2022-01-25,2022-01-26,211.1882123363355,YELLOW,408.801025390625,436.16115478515627,413.7037190246582,-1.3638743623384013,-1.1511756952940284,-1.0954955452897146,False,2022-01-21,206.6879843180967,2.177305097384319,True,7.0,5.057207594607349,-10.97784521328422,5.057207594607349,-4.215067533309935,0.36577847527268226,-3.555775791389182,-6.3927612073355515,-8.919236054772705,True,6.0,True,6.0,True,6.0,MACD_FAIL
BEAR_2022,JNJ,yfinance,MACD_FAIL,2022-01-25,2022-01-26,147.3833944783963,YELLOW,408.801025390625,436.16115478515627,413.7037190246582,-0.7693065741573162,-1.0217467752091962,-0.929099610134747,False,2022-01-14,139.2198851849617,5.863752353041307,False,,3.62903102242802,-6.458374228987873,3.62903102242802,-6.458374228987873,3.1216628516439915,2.3576745982359038,-0.19694897771567188,-5.004671677539918,True,1.0,True,3.0,False,,MACD_FAIL
BEAR_2022,ALB,yfinance,MACD_FAIL,2022-01-26,2022-01-27,201.2120775169926,YELLOW,407.7754821777344,435.55418579101564,413.8195297241211,-2.2025127485228904,-2.0888197295345154,-1.6903959972585136,False,2022-01-20,186.37854067350293,7.9588222924628305,True,15.0,16.515509445457276,-20.15694813468253,16.515509445457276,-8.457465146095721,1.0477827805378537,10.90540019676871,-7.428473856569317,-9.810651014403826,True,2.0,True,2.0,True,3.0,MACD_FAIL
BEAR_2022,BEN,yfinance,MACD_FAIL,2022-01-26,2022-01-27,25.535018756288547,YELLOW,407.7754821777344,435.55418579101564,413.8195297241211,-0.3155836678055644,-0.3204950379021955,-0.28719017275305214,False,2022-01-20,24.00164640566512,6.388613200557369,True,15.0,2.7691301993211237,-13.814563318384876,2.7691301993211237,-6.782830129980377,-3.6714653749858384,-2.3335436435622414,-6.316123505180671,-6.004994724110269,True,3.0,False,,False,,MACD_FAIL
BEAR_2022,ESS,yfinance,MACD_FAIL,2022-01-26,2022-01-27,278.8276983098833,YELLOW,407.7754821777344,435.55418579101564,413.8195297241211,-1.9235047378643493,-1.828748018076145,-1.7402675507880598,False,2022-01-19,271.8398752429154,2.570565874753883,True,0.0,2.8607081639915766,-6.972920905038526,1.042456602687536,-3.184938803926207,-0.06364513778567282,-3.1334107103366593,-4.6637458660188535,-1.627307694566782,False,,False,,False,,MACD_FAIL
BEAR_2022,MKC,yfinance,MACD_FAIL,2022-01-27,2022-01-28,88.3279903338221,YELLOW,405.761962890625,434.90394470214846,413.9318403625488,-0.36250907355352946,-0.6719100659346517,-0.553164672807001,False,2022-01-26,82.28943866084869,7.33818552081873,False,,5.715727146858174,-5.888978749024343,5.715727146858174,-5.888978749024343,3.6474626199034077,2.6490023837916654,-0.3668148219581946,-3.0361789798215133,True,1.0,True,3.0,True,4.0,MACD_FAIL
BEAR_2022,WST,yfinance,MACD_FAIL,2022-02-24,2022-02-25,372.9723682663992,YELLOW,402.99566650390625,428.03062316894534,416.68868072509764,-1.6795169723333592,-2.5938978803352732,-1.641336832256517,False,2022-02-23,344.9075084825873,8.13692340514205,False,,10.909524512833201,-5.029667148870621,10.909524512833201,-5.029667148870621,2.5505702487187643,-3.800747351047473,9.83419938149732,7.331269837656329,True,0.0,True,1.0,True,13.0,MACD_FAIL
BEAR_2022,AOS,yfinance,MACD_FAIL,2022-02-25,2022-02-28,62.67903362376843,YELLOW,411.8873596191406,427.5792126464844,416.85975204467775,-0.17889199563771951,-0.27943554892935785,-0.23489065801839892,False,2022-01-19,59.89921196984549,4.640831761396735,False,,2.019880316566658,-5.005859939502644,2.019880316566658,-5.005859939502644,-1.4636940961682332,-3.571444207717611,-0.5854907488703653,-2.429756120511306,True,2.0,False,,False,,MACD_FAIL
BEAR_2022,BEN,yfinance,MACD_FAIL,2022-02-25,2022-02-28,23.429608719294965,YELLOW,411.8873596191406,427.5792126464844,416.85975204467775,-0.05726528494636596,-0.12041668365952884,-0.10156814507489076,False,2022-02-22,22.00746742183961,6.462085210422996,True,5.0,2.000678728949068,-10.308578409523793,2.000678728949068,-8.27400615770687,-7.731449949484004,-9.02001042849917,-6.239411129672279,-5.086475741982199,True,0.0,False,,False,,MACD_FAIL
BEAR_2022,CTAS,yfinance,MACD_FAIL,2022-02-25,2022-02-28,89.37023552398995,YELLOW,411.8873596191406,427.5792126464844,416.85975204467775,0.2295543926806849,0.0948479447586501,-0.018530358026718652,False,2022-02-22,85.4913399593805,4.537179516021661,False,,13.562601950129082,-2.5242045549520142,13.562601950129082,-2.5242045549520142,-0.47480635820539296,0.5955000293152102,4.965261153036504,13.533090462765717,True,2.0,True,3.0,True,13.0,MACD_FAIL
