window,macd_group,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
BEAR_2022,MACD_FAIL,25,20,40.0,88.0,68.0,60.0,7.155777007298816,-4.260957709130985,0.8166966046645993,0.7867047729487945,1.2108238031582548,0.893878947080438,4.591573436079366
BEAR_2022,MACD_PASS,33,30,63.63636363636363,51.515151515151516,42.42424242424242,27.27272727272727,3.86060506216656,-5.445246297621443,-1.4701415334569252,-2.159036922175545,-2.6826340562371644,-2.3297763530098594,4.297084317740296
BULL_2013_2014,MACD_FAIL,199,50,45.22613065326633,61.30653266331658,52.26130653266332,34.17085427135678,4.2542819067747235,-2.3068937317321088,0.617869100656241,0.6738313089513424,1.4595733336195482,2.3326343511884797,2.3716345082109402
BULL_2013_2014,MACD_PASS,248,51,37.903225806451616,70.96774193548387,61.693548387096776,43.145161290322584,4.914605005001065,-2.1902972445920272,1.0099409302881894,1.7156014271811275,2.4848660565647864,2.8512874009204783,2.554792113932769
BULL_2017,MACD_FAIL,71,35,28.169014084507044,71.83098591549296,64.7887323943662,45.07042253521127,5.332584704131604,-2.027840304832599,1.2099238478187466,1.8164207585144663,2.224540937731293,2.7556241309493967,1.7932280194210781
BULL_2017,MACD_PASS,101,46,50.495049504950494,62.37623762376238,45.54455445544555,27.722772277227726,3.540848130472629,-2.2353359824207875,0.29768546441980737,0.555989944264028,0.9510966341627318,1.1675337355771904,1.8644739256876042
CHOP_2015_2016,MACD_FAIL,132,47,45.45454545454545,59.84848484848485,46.21212121212121,30.303030303030305,3.9772991051637026,-2.6699053277653904,0.5131160148004719,0.850960159849874,0.8025149617105453,0.8962890448633543,2.47919368965529
CHOP_2015_2016,MACD_PASS,180,51,59.44444444444444,53.333333333333336,40.0,15.555555555555555,2.7749956535755436,-3.1228483711798503,-0.2767366867578443,-0.3086039777934787,-0.2056091923784436,-0.33342322327141194,2.3416786000895473
COVID_2020,MACD_FAIL,60,42,78.33333333333333,75.0,50.0,25.0,4.266094735251378,-7.934950578195167,-3.009913381609004,-7.2897998878346355,-9.107820470316637,-7.853273017312024,4.409748678091141
COVID_2020,MACD_PASS,69,43,66.66666666666666,71.01449275362319,60.86956521739131,36.231884057971016,5.631420720527894,-5.421100743696533,-1.882221964043121,-3.4187484026176542,-3.8646500032381272,-4.734227564741298,3.6082752565524068
GFC_2007_2009,MACD_FAIL,61,39,45.90163934426229,81.9672131147541,80.32786885245902,52.459016393442624,6.973111200323906,-3.320304411932501,1.3584539604858596,0.9164670569690515,1.3770946041049315,1.339064667430124,2.898746427205001
GFC_2007_2009,MACD_PASS,99,44,35.35353535353536,74.74747474747475,66.66666666666666,49.494949494949495,6.533105540654064,-3.590084543558082,0.034152017239859285,1.2293480894170277,2.2134773348564893,2.4932455309949364,3.7984542567850887
ALL_WINDOWS_POOLED,MACD_FAIL,548,80,46.53284671532847,67.33576642335767,56.02189781021898,36.86131386861314,4.7635747953292595,-3.1763422702020128,0.36364993063703904,0.024761244461280266,0.22287155588569832,0.7499767161631467,2.566135914385048
ALL_WINDOWS_POOLED,MACD_PASS,730,90,48.49315068493151,65.06849315068493,53.83561643835616,33.6986301369863,4.4365648840469465,-3.0688257625267314,0.07631786655500236,0.3296424999296369,0.7386909171533129,0.8333027239517048,2.5937573366705102
