ticker,signals,stops,avg_ret_20d_pct,sum_ret_20d_pct_points,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,stop_rate_pct
PPG,4,0,6.962774941943918,27.851099767775672,9.982528204791652,-3.045138336704312,0.0
KO,4,0,5.951975328580334,23.807901314321334,7.817868733663885,-1.1784426692296512,0.0
LEG,2,0,11.159279842928871,22.318559685857743,13.52311547810775,-1.2972003263549192,0.0
SWK,4,2,5.287500982620463,21.15000393048185,3.5335447886806093,-3.53979527241241,50.0
RF,1,0,20.22301064368981,20.22301064368981,32.42777496198681,-5.650278763304605,0.0
GWW,4,2,4.573646028330719,18.294584113322877,4.882679353249552,-3.5471862302539514,50.0
BDX,3,1,5.674655819105408,17.023967457316225,6.29855444218681,-2.86862520111583,33.333333333333336
CMA,2,0,8.345832582675339,16.691665165350678,13.631895190545572,-2.113901102011295,0.0
ADM,2,0,8.203231500707508,16.406463001415016,11.136041461718106,-3.745424578796036,0.0
JCI,2,0,7.666936427477744,15.333872854955487,11.232843197294638,-2.6752687703776035,0.0
BAC,2,1,7.612584920831422,15.225169841662844,6.216677885259003,-2.320864733335537,50.0
SHW,3,1,4.521782659007349,13.565347977022046,4.167667478117824,-2.5939815903927617,33.333333333333336
FITB,3,1,4.402508470614342,13.207525411843028,12.896896419909025,-5.984666683052442,33.333333333333336
SLM,3,1,4.263555005103336,12.790665015310008,16.74843403634274,-4.618534080067523,33.333333333333336
EMR,2,2,5.974278969916353,11.948557939832707,1.8408244217377967,-6.623702381925655,100.0
LOW,1,0,11.791184379749795,11.791184379749795,14.117853384777268,-4.66502981410033,0.0
TGT,4,2,2.7280356797246466,10.912142718898586,6.486713073160749,-5.005895038654035,50.0
AVY,2,0,4.843910303308629,9.687820606617258,8.675017884473057,-1.4839072600405734,0.0
MMM,4,1,2.3814106677551408,9.525642671020563,5.477570166172708,-1.5673126679356828,25.0
MO,2,0,3.4521286806834417,6.904257361366883,4.921789205002591,-1.7458535548401322,0.0
JNJ,2,0,3.3521218364505945,6.704243672901189,4.781348733075729,-1.7908654510102704,0.0
PEP,3,0,1.9347765505582373,5.804329651674712,4.367416890892232,-1.6954025264066013,0.0
PFE,1,0,5.318678076128647,5.318678076128647,9.634110357037471,-0.5163765122454866,0.0
USB,2,1,1.8332090634779588,3.6664181269559175,10.633545511512775,-4.044895080353001,50.0
PGR,3,0,1.2093866527878583,3.628159958363575,5.14334076355775,-3.555652709153819,0.0
NUE,3,1,1.0359553162643333,3.107865948793,12.13822483382061,-2.977502356448536,33.333333333333336
KMB,1,1,2.072984538631917,2.072984538631917,0.2386942777885314,-1.6127991742468262,100.0
DOV,2,1,0.9454213313236537,1.8908426626473074,5.074600842732281,-4.637290884825885,50.0
CLX,2,0,0.4052362075206706,0.8104724150413412,2.430931396104641,-2.4729771254704267,0.0
CTL,4,2,0.18881021213041937,0.7552408485216775,4.271242168358574,-3.069442719752583,50.0
BCR,1,1,0.5889737699663389,0.5889737699663389,0.5889737699663389,-2.2957957155831044,100.0
ABT,1,0,0.419884169884166,0.419884169884166,11.192084942084946,-1.6505791505791456,0.0
FHN,2,2,0.0650708088256462,0.1301416176512924,5.678287600912757,-6.593421959321666,100.0
MCD,3,1,-0.2863907351445408,-0.8591722054336224,3.2947931722054236,-3.0834120078209843,33.333333333333336
MTB,1,0,-1.0688573010891655,-1.0688573010891655,4.336348532397993,-5.305519660328595,0.0
LLY,2,2,-1.1326619661243265,-2.265323932248653,1.578358486563436,-3.7446827334997597,100.0
GE,3,2,-0.8672392022051167,-2.6017176066153502,2.8135382602479493,-4.729863885390674,66.66666666666667
WMT,2,1,-1.520265117571562,-3.040530235143124,4.331685582512512,-3.5351025610850573,50.0
CB,4,2,-1.2256548634913964,-4.902619453965586,4.281057155215135,-3.5272255734332707,50.0
BBT,2,1,-2.5817065505173598,-5.1634131010347195,6.122202872743099,-6.051827718012237,50.0
VFC,5,1,-1.1108950439378782,-5.554475219689391,6.857785517298064,-4.187671772016679,20.0
STT,1,0,-5.835267123823429,-5.835267123823429,0.4823612233723517,-8.81808463483953,0.0
ADP,4,3,-1.7565846311630773,-7.026338524652309,2.7427891251666168,-3.109406170352544,75.0
SVU,3,2,-4.36688972752756,-13.100669182582681,2.473170471286923,-9.425346612562976,66.66666666666667
SNV,1,1,-17.916985329903355,-17.916985329903355,3.9212959744142406,-22.28325106027949,100.0
