window,signal_type,signal_date,signals,stocks,stop_rate_pct,avg_ret_20d_pct
BEAR_2022,V0.1,2022-01-12,3,3,100.0,-8.98318383636307
BEAR_2022,V0.1,2022-01-24,1,1,0.0,4.758857413382711
BEAR_2022,V0.1,2022-01-25,2,2,100.0,-6.5714381345866215
BEAR_2022,V0.1,2022-01-26,2,2,100.0,-1.07476168699156
BEAR_2022,V0.1,2022-01-28,3,3,66.66666666666666,7.204339595157328
BEAR_2022,V0.1,2022-01-31,8,8,75.0,-7.746975138087718
BEAR_2022,V0.1,2022-02-01,4,4,75.0,-8.917601561992688
BEAR_2022,V0.1,2022-02-02,1,1,100.0,-11.693020129055498
BEAR_2022,V0.1,2022-02-09,1,1,100.0,-5.645041743986057
BEAR_2022,V0.1,2022-02-15,1,1,100.0,-6.78086310852084
BEAR_2022,V0.1,2022-02-16,2,2,100.0,-0.6482228199033713
BEAR_2022,V0.1,2022-02-18,1,1,100.0,-6.123988064680019
BEAR_2022,V0.1,2022-02-22,1,1,100.0,-2.6991472483713586
BEAR_2022,V0.1,2022-02-24,1,1,0.0,7.150708248632265
BEAR_2022,V0.1,2022-02-25,2,2,0.0,2.7022731438434033
BEAR_2022,V0.1,2022-02-28,3,3,33.33333333333333,5.805552501798817
BEAR_2022,V0.1,2022-03-14,1,1,0.0,9.294701480178414
BEAR_2022,V0.1,2022-03-15,1,1,0.0,8.280344981368138
BEAR_2022,V0.2B_NO_MACD,2022-01-12,4,4,100.0,-5.77028068386394
BEAR_2022,V0.2B_NO_MACD,2022-01-19,1,1,0.0,-0.18735836332833822
BEAR_2022,V0.2B_NO_MACD,2022-01-24,2,2,0.0,4.211735984529586
BEAR_2022,V0.2B_NO_MACD,2022-01-25,7,7,85.71428571428571,-7.105455405114934
BEAR_2022,V0.2B_NO_MACD,2022-01-26,5,5,100.0,-3.9184953614127993
BEAR_2022,V0.2B_NO_MACD,2022-01-27,1,1,0.0,-3.0361789798215133
BEAR_2022,V0.2B_NO_MACD,2022-01-28,1,1,100.0,-5.512104142380325
BEAR_2022,V0.2B_NO_MACD,2022-01-31,5,5,60.0,-5.365999875860683
BEAR_2022,V0.2B_NO_MACD,2022-02-01,4,4,75.0,-8.917601561992688
BEAR_2022,V0.2B_NO_MACD,2022-02-02,1,1,100.0,-11.693020129055498
BEAR_2022,V0.2B_NO_MACD,2022-02-09,1,1,100.0,-5.645041743986057
BEAR_2022,V0.2B_NO_MACD,2022-02-15,1,1,100.0,-6.78086310852084
BEAR_2022,V0.2B_NO_MACD,2022-02-18,1,1,100.0,-6.123988064680019
BEAR_2022,V0.2B_NO_MACD,2022-02-22,1,1,100.0,-2.6991472483713586
BEAR_2022,V0.2B_NO_MACD,2022-02-24,2,2,0.0,7.240989043144297
BEAR_2022,V0.2B_NO_MACD,2022-02-25,12,12,25.0,3.560814124556693
BEAR_2022,V0.2B_NO_MACD,2022-02-28,4,4,25.0,8.012687255075557
BEAR_2022,V0.2B_NO_MACD,2022-03-09,1,1,0.0,13.370608873421052
BEAR_2022,V0.2B_NO_MACD,2022-03-10,2,2,0.0,6.711312454065044
BEAR_2022,V0.2B_NO_MACD,2022-03-14,1,1,0.0,9.294701480178414
BEAR_2022,V0.2B_NO_MACD,2022-03-15,1,1,0.0,8.280344981368138
BULL_2013_2014,V0.1,2013-01-31,1,1,0.0,9.916980605553238
BULL_2013_2014,V0.1,2013-02-11,2,2,100.0,0.12177843552506062
BULL_2013_2014,V0.1,2013-02-20,2,2,0.0,4.831416209812634
BULL_2013_2014,V0.1,2013-02-27,1,1,0.0,4.764694395625857
BULL_2013_2014,V0.1,2013-02-28,4,4,0.0,2.877139719726091
BULL_2013_2014,V0.1,2013-03-05,1,1,0.0,5.714377078536703
BULL_2013_2014,V0.1,2013-03-22,1,1,0.0,7.891699024031906
BULL_2013_2014,V0.1,2013-03-26,1,1,100.0,-0.05421755507362125
BULL_2013_2014,V0.1,2013-03-28,1,1,100.0,9.428501349031148
BULL_2013_2014,V0.1,2013-04-04,1,1,0.0,9.749636401412864
BULL_2013_2014,V0.1,2013-04-05,2,2,100.0,1.279774848023607
BULL_2013_2014,V0.1,2013-04-08,2,2,50.0,3.566851885670541
BULL_2013_2014,V0.1,2013-04-10,1,1,0.0,14.734464714583373
BULL_2013_2014,V0.1,2013-04-19,1,1,0.0,6.33689408985989
BULL_2013_2014,V0.1,2013-04-22,2,2,0.0,8.241799053561428
BULL_2013_2014,V0.1,2013-04-23,3,3,33.33333333333333,7.37265401681535
BULL_2013_2014,V0.1,2013-05-01,1,1,0.0,5.56778426431026
BULL_2013_2014,V0.1,2013-05-02,1,1,0.0,3.72979432668723
BULL_2013_2014,V0.1,2013-05-03,3,3,33.33333333333333,-2.2623471030480755
BULL_2013_2014,V0.1,2013-05-21,1,1,100.0,-8.223632964636229
BULL_2013_2014,V0.1,2013-05-24,1,1,100.0,-7.5416377324383
BULL_2013_2014,V0.1,2013-05-28,1,1,100.0,-2.6458793444147366
BULL_2013_2014,V0.1,2013-06-04,3,3,100.0,0.18069996080415743
BULL_2013_2014,V0.1,2013-06-05,3,3,33.33333333333333,4.175154843502134
BULL_2013_2014,V0.1,2013-06-07,7,7,85.71428571428571,1.3850201956265995
BULL_2013_2014,V0.1,2013-06-10,9,9,55.55555555555556,3.968476695675186
BULL_2013_2014,V0.1,2013-06-13,1,1,100.0,0.802003744370805
BULL_2013_2014,V0.1,2013-06-18,1,1,100.0,-2.7675949149998824
BULL_2013_2014,V0.1,2013-06-25,2,2,0.0,1.9536193259564405
BULL_2013_2014,V0.1,2013-06-26,5,5,0.0,6.385229476359977
BULL_2013_2014,V0.1,2013-06-27,2,2,50.0,3.630045876545407
BULL_2013_2014,V0.1,2013-07-01,1,1,0.0,14.3206974238417
BULL_2013_2014,V0.1,2013-07-08,1,1,0.0,15.132781679976892
BULL_2013_2014,V0.1,2013-07-09,1,1,0.0,7.113993045766365
BULL_2013_2014,V0.1,2013-07-29,1,1,100.0,-3.2224568608463344
BULL_2013_2014,V0.1,2013-08-14,1,1,100.0,2.268961594579233
BULL_2013_2014,V0.1,2013-08-21,1,1,0.0,6.289411276133028
BULL_2013_2014,V0.1,2013-08-22,3,3,66.66666666666666,1.9950535829249179
BULL_2013_2014,V0.1,2013-08-23,8,8,62.5,3.1406760231469866
BULL_2013_2014,V0.1,2013-08-26,4,4,100.0,9.625362234333124
BULL_2013_2014,V0.1,2013-08-28,2,2,0.0,-0.20820562064104986
BULL_2013_2014,V0.1,2013-08-30,3,3,33.33333333333333,4.088831830235788
BULL_2013_2014,V0.1,2013-09-03,6,6,0.0,1.552961256858735
BULL_2013_2014,V0.1,2013-09-04,6,6,16.666666666666664,2.9545043468380676
