window,ticker,loaded,source
BULL_2017,GD,True,yfinance
BULL_2017,FRT,True,yfinance
CHOP_2015_2016,ABBV,True,legacy
CHOP_2015_2016,ABT,True,legacy
CHOP_2015_2016,ADM,True,legacy
CHOP_2015_2016,ADP,True,legacy
CHOP_2015_2016,AFL,True,legacy
CHOP_2015_2016,APD,True,legacy
CHOP_2015_2016,BCR,True,legacy
CHOP_2015_2016,BDX,True,legacy
CHOP_2015_2016,BEN,True,legacy
CHOP_2015_2016,BF-B,True,legacy
CHOP_2015_2016,CAH,True,legacy
CHOP_2015_2016,CB,True,legacy
CHOP_2015_2016,CINF,True,legacy
CHOP_2015_2016,CL,True,legacy
CHOP_2015_2016,CLX,True,legacy
CHOP_2015_2016,CTAS,True,legacy
CHOP_2015_2016,CVX,True,legacy
CHOP_2015_2016,DOV,True,legacy
CHOP_2015_2016,ECL,True,legacy
CHOP_2015_2016,ED,True,legacy
CHOP_2015_2016,EMR,True,legacy
CHOP_2015_2016,FDO,False,missing
CHOP_2015_2016,GPC,True,legacy
CHOP_2015_2016,GWW,True,legacy
CHOP_2015_2016,HCP,True,legacy
CHOP_2015_2016,HRL,True,legacy
CHOP_2015_2016,ITW,True,legacy
CHOP_2015_2016,JNJ,True,legacy
CHOP_2015_2016,KMB,True,legacy
CHOP_2015_2016,KO,True,legacy
CHOP_2015_2016,LEG,True,legacy
CHOP_2015_2016,LOW,True,legacy
CHOP_2015_2016,MCD,True,legacy
CHOP_2015_2016,MDT,True,legacy
CHOP_2015_2016,MHFI,True,legacy
CHOP_2015_2016,MKC,True,legacy
CHOP_2015_2016,MMM,True,legacy
CHOP_2015_2016,NUE,True,legacy
CHOP_2015_2016,PEP,True,legacy
CHOP_2015_2016,PG,True,legacy
CHOP_2015_2016,PNR,True,legacy
CHOP_2015_2016,PPG,True,legacy
CHOP_2015_2016,SHW,True,legacy
CHOP_2015_2016,SIAL,False,missing
CHOP_2015_2016,SWK,True,legacy
CHOP_2015_2016,SYY,True,legacy
CHOP_2015_2016,T,True,legacy
CHOP_2015_2016,TGT,True,legacy
CHOP_2015_2016,TROW,True,legacy
CHOP_2015_2016,VFC,True,legacy
CHOP_2015_2016,WBA,True,legacy
CHOP_2015_2016,WMT,True,legacy
CHOP_2015_2016,XOM,True,legacy
COVID_2020,ABBV,True,yfinance
COVID_2020,ABT,True,yfinance
COVID_2020,ADM,True,yfinance
COVID_2020,ADP,True,yfinance
COVID_2020,AFL,True,yfinance
COVID_2020,ALB,True,yfinance
COVID_2020,AMCR,True,yfinance
COVID_2020,AOS,True,yfinance
COVID_2020,APD,True,yfinance
COVID_2020,ATO,True,yfinance
COVID_2020,BDX,True,yfinance
COVID_2020,BEN,True,yfinance
COVID_2020,BF-B,True,yfinance
COVID_2020,CAH,True,yfinance
COVID_2020,CAT,True,yfinance
COVID_2020,CB,True,yfinance
COVID_2020,CINF,True,yfinance
COVID_2020,CL,True,yfinance
COVID_2020,CLX,True,yfinance
COVID_2020,CTAS,True,yfinance
COVID_2020,CVX,True,yfinance
COVID_2020,DOV,True,yfinance
COVID_2020,ECL,True,yfinance
COVID_2020,ED,True,yfinance
COVID_2020,EMR,True,yfinance
COVID_2020,ESS,True,yfinance
COVID_2020,EXPD,True,yfinance
COVID_2020,FRT,True,yfinance
COVID_2020,GD,True,yfinance
COVID_2020,GPC,True,yfinance
COVID_2020,GWW,True,yfinance
COVID_2020,HRL,True,yfinance
COVID_2020,ITW,True,yfinance
COVID_2020,JNJ,True,yfinance
COVID_2020,KMB,True,yfinance
COVID_2020,KO,True,yfinance
COVID_2020,LEG,True,yfinance
COVID_2020,LIN,True,yfinance
COVID_2020,LOW,True,yfinance
COVID_2020,MCD,True,yfinance
COVID_2020,MDT,True,yfinance
COVID_2020,MKC,True,yfinance
COVID_2020,MMM,True,yfinance
COVID_2020,NUE,True,yfinance
COVID_2020,O,True,yfinance
COVID_2020,PBCT,True,legacy_fallback
COVID_2020,PEP,True,yfinance
COVID_2020,PG,True,yfinance
COVID_2020,PNR,True,yfinance
COVID_2020,PPG,True,yfinance
COVID_2020,ROP,True,yfinance
COVID_2020,ROST,True,yfinance
COVID_2020,SHW,True,yfinance
COVID_2020,SPGI,True,yfinance
COVID_2020,SWK,True,yfinance
COVID_2020,SYY,True,yfinance
COVID_2020,T,True,yfinance
COVID_2020,TGT,True,yfinance
COVID_2020,TROW,True,yfinance
COVID_2020,UTX,True,yfinance
COVID_2020,VFC,True,yfinance
COVID_2020,WBA,True,legacy_fallback
COVID_2020,WMT,True,yfinance
COVID_2020,XOM,True,yfinance
GFC_2007_2009,FHN,True,legacy
GFC_2007_2009,BAC,True,legacy
GFC_2007_2009,ED,True,legacy
GFC_2007_2009,USB,True,legacy
GFC_2007_2009,PFE,True,legacy
GFC_2007_2009,BBT,True,legacy
GFC_2007_2009,CMA,True,legacy
GFC_2007_2009,RF,True,legacy
GFC_2007_2009,FITB,True,legacy
GFC_2007_2009,MO,True,legacy
GFC_2007_2009,KEY,True,legacy
GFC_2007_2009,CINF,True,legacy
