month,signals,stocks,avg_ret_20d_pct,stop_rate_pct
2007-08,15,15,-0.4237579523860546,46.666666666666664
2007-09,6,6,2.335751039763277,33.33333333333333
2007-10,3,3,-6.210712141545891,100.0
2007-11,4,4,0.1939453990831398,75.0
2007-12,1,1,7.907498752979003,0.0
2009-06,13,13,8.11299151410721,46.15384615384615
2009-07,3,3,15.222322243495187,0.0
2009-08,8,8,1.621383800788803,12.5
2009-09,8,8,2.8878989256845693,25.0
2009-10,15,15,-0.27236491494908793,40.0
2009-11,21,21,2.2593663475849635,9.523809523809524
2009-12,15,15,3.462779294707546,46.666666666666664
